id,Name,Minimum Life Span,Maximum Life Span,Minimum Weight,Maximum Weight,Temperament,Origin,Image
42,Malayan,12.0,18.0,6.0,13.0,"Affectionate, Interactive, Playful, Social",United Kingdom,https://cdn2.thecatapi.com/images/vPOdKNqUm.jpg
43,Manx,12.0,14.0,7.0,13.0,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg
44,Munchkin,10.0,15.0,5.0,9.0,"Agile, Easy Going, Intelligent, Playful",United States,https://cdn2.thecatapi.com/images/W3fUcHI8z.jpg
45,Nebelung,11.0,16.0,7.0,11.0,"Gentle, Quiet, Shy, Playful",United States,https://cdn2.thecatapi.com/images/xObEK7X1-.jpg
46,Norwegian Forest Cat,12.0,16.0,8.0,16.0,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",Norway,https://cdn2.thecatapi.com/images/BtoHr0-4b.jpg
47,Ocicat,12.0,14.0,7.0,15.0,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",United States,https://cdn2.thecatapi.com/images/NZ_C9Edot.jpg
48,Oriental,12.0,14.0,5.0,10.0,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",United States,https://cdn2.thecatapi.com/images/0Z9FWHLuK.jpg
49,Persian,14.0,15.0,9.0,14.0,"Affectionate, loyal, Sedate, Quiet",Iran (Persia),https://cdn2.thecatapi.com/images/d_RzH-Zft.jpg
50,Pixie-bob,13.0,16.0,8.0,17.0,"Affectionate, Social, Intelligent, Loyal",United States,https://cdn2.thecatapi.com/images/UFao82MoD.jpg
51,Ragamuffin,12.0,16.0,8.0,20.0,"Affectionate, Friendly, Gentle, Calm",United States,https://cdn2.thecatapi.com/images/trgTS8szc.jpg
52,Ragdoll,12.0,17.0,12.0,20.0,"Affectionate, Friendly, Gentle, Quiet, Easygoing",United States,https://cdn2.thecatapi.com/images/nqS9tUT3i.jpg
53,Russian Blue,10.0,16.0,5.0,11.0,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",Russia,https://cdn2.thecatapi.com/images/iPMgEn50-.jpg
54,Savannah,17.0,20.0,8.0,25.0,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",United States,https://cdn2.thecatapi.com/images/yKXeUMNZ8.jpg
55,Scottish Fold,11.0,14.0,5.0,11.0,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",United Kingdom,https://cdn2.thecatapi.com/images/6P42aYVha.jpg
56,Selkirk Rex,14.0,15.0,6.0,16.0,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",United States,https://cdn2.thecatapi.com/images/enV_ZqSpp.jpg
57,Siamese,12.0,15.0,8.0,15.0,"Active, Agile, Clever, Sociable, Loving, Energetic",Thailand,https://cdn2.thecatapi.com/images/kjKxmn3Ob.jpg
58,Siberian,12.0,15.0,8.0,16.0,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",Russia,https://cdn2.thecatapi.com/images/bvG8QGrnU.jpg
59,Singapura,12.0,15.0,5.0,8.0,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",Singapore,https://cdn2.thecatapi.com/images/_PH33O5FA.jpg
60,Snowshoe,14.0,19.0,7.0,12.0,"Affectionate, Social, Intelligent, Sweet-tempered",United States,https://cdn2.thecatapi.com/images/9cbCzlbJt.jpg
61,Somali,12.0,16.0,6.0,12.0,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",Somalia,https://cdn2.thecatapi.com/images/f0UR7b5nA.jpg
62,Sphynx,12.0,14.0,6.0,12.0,"Loyal, Inquisitive, Friendly, Quiet, Gentle",Canada,https://cdn2.thecatapi.com/images/J-vpF8e1N.jpg
63,Tonkinese,14.0,16.0,6.0,12.0,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",Canada,https://cdn2.thecatapi.com/images/o0eqzDky9.jpg
64,Toyger,12.0,15.0,7.0,15.0,"Playful, Social, Intelligent",United States,https://cdn2.thecatapi.com/images/Ba-qRZ_8n.jpg
65,Turkish Angora,15.0,18.0,5.0,10.0,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",Turkey,https://cdn2.thecatapi.com/images/Yx3nQTUHu.jpg
66,Turkish Van,12.0,17.0,7.0,20.0,"Agile, Intelligent, Loyal, Playful, Energetic",Turkey,https://cdn2.thecatapi.com/images/AhN6mXcc3.jpg
67,York Chocolate,13.0,15.0,12.0,18.0,"Playful, Social, Intelligent, Curious, Friendly",United States,https://cdn2.thecatapi.com/images/y9e6zClik.jpg
