id,First name,Last name,Date of birth,Country of birth,City of birth,Year of award,Category,Motivation
50,Paul Johann Ludwig,Heyse,03/15/1830,Prussia (now Germany),Berlin,1910.0,literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"
51,Romain,Rolland,01/29/1866,France,Clamecy,1915.0,literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
52,Jean-Marie Gustave,Le Cl_zio,4/13/1940,France,Nice,2008.0,literature,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
53,Henryk,Sienkiewicz,05/05/1846,Poland,Wola Okrzejska,1905.0,literature,because of his outstanding merits as an epic writer
54,Rabindranath,Tagore,05/07/1861,India,Calcutta,1913.0,literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"
55,Tomas,Transtr_mer,4/15/1931,Sweden,Stockholm,2011.0,literature,"because, through his condensed, translucent images, he gives us fresh access to reality"
56,Vicente,Aleixandre,04/26/1898,Spain,Sevilla,1977.0,literature,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"
57,Eyvind,Johnson,7/29/1900,Sweden,Svartbj_rnsbyn,1974.0,literature,"for a narrative art, far-seeing in lands and ages, in the service of freedom"
58,Robert C.,Merton,7/31/1944,USA,"New York, NY",1997.0,economics,for a new method to determine the value of derivatives
59,Myron S.,Scholes,7/1/1941,Canada,"Timmins, ON",1997.0,economics,for a new method to determine the value of derivatives
60,Derek,Walcott,1/23/1930,Saint Lucia,Castries,1992.0,literature,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
61,Pablo,Neruda,7/12/1904,Chile,Parral,1971.0,literature,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
62,Camilo Jos_,Cela,5/11/1916,Spain,Iria Flavia,1989.0,literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
63,Gao,Xingjian,1/4/1940,China,Ganzhou,2000.0,literature,"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
64,Joseph,Brodsky,5/24/1940,USSR (now Russia),Leningrad (now Saint Petersburg),1987.0,literature,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
65,Patrick,White,5/28/1912,United Kingdom,London,1973.0,literature,for an epic and psychological narrative art which has introduced a new continent into literature
66,Herbert,Kroemer,8/25/1928,Germany,Weimar,2000.0,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics
67,Zhores I.,Alferov,3/15/1930,USSR (now Belarus),"Vitebsk, Belorussia",2000.0,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics
68,William D.,Phillips,11/5/1948,USA,"Wilkes-Barre, PA",1997.0,physics,for development of methods to cool and trap atoms with laser light
69,Claude,Cohen-Tannoudji,4/1/1933,French Algeria (now Algeria),Constantine,1997.0,physics,for development of methods to cool and trap atoms with laser light
70,Steven,Chu,2/28/1948,USA,"St. Louis, MO",1997.0,physics,for development of methods to cool and trap atoms with laser light
71,Pierre-Gilles,de Gennes,10/24/1932,France,Paris,1991.0,physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
72,Peter Brian,Medawar,2/28/1915,Brazil,Rio de Janeiro,1960.0,medicine,for discovery of acquired immunological tolerance
73,Sir Frank Macfarlane,Burnet,09/03/1899,Australia,Traralgon,1960.0,medicine,for discovery of acquired immunological tolerance
74,Martinus J.G.,Veltman,6/27/1931,the Netherlands,Waalwijk,1999.0,physics,for elucidating the quantum structure of electroweak interactions in physics
75,Gerardus,t Hooft,7/5/1946,the Netherlands,Den Helder,1999.0,physics,for elucidating the quantum structure of electroweak interactions in physics
76,Louis Eugene Felix,N_el,11/22/1904,France,Lyon,1970.0,physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
77,Hannes Olof G_sta,Alfv_n,5/30/1908,Sweden,Norrk_ping,1970.0,physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
78,Charles Hard,Townes,7/28/1915,USA,"Greenville, SC",1964.0,physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
79,Aleksandr Mikhailovich,Prokhorov,7/11/1916,Australia,Atherton,1964.0,physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
80,Nicolay Gennadiyevich,Basov,12/14/1922,USSR (now Russia),Usman,1964.0,physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
81,David J.,Wineland,2/24/1944,USA,"Milwaukee, WI",2012.0,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
82,Serge,Haroche,9/11/1944,Morocco,Casablanca,2012.0,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
83,Charles Kuen,Kao,11/4/1933,China,Shanghai,2009.0,physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication
84,Andre,Geim,10/21/1958,Russia,Sochi,2010.0,physics,for groundbreaking experiments regarding the two-dimensional material graphene
85,Konstantin,Novoselov,8/23/1974,Russia,Nizhny Tagil,2010.0,physics,for groundbreaking experiments regarding the two-dimensional material graphene
86,Ragnar,Frisch,03/03/1895,Norway,Oslo,1969.0,economics,for having developed and applied dynamic models for the analysis of economic processes
87,Jan,Tinbergen,4/12/1903,the Netherlands,the Hague,1969.0,economics,for having developed and applied dynamic models for the analysis of economic processes
88,Robert E.,Lucas Jr.,9/15/1937,USA,"Yakima, WA",1995.0,economics,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
89,Thomas C.,Schelling,4/14/1921,USA,"Oakland, CA",2005.0,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis
90,Robert J.,Aumann,6/8/1930,Germany,Frankfurt-on-the-Main,2005.0,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis
91,Vernon L.,Smith,1/1/1927,USA,"Wichita, KS",2002.0,economics,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"
92,Gary S.,Becker,12/2/1930,USA,"Pottsville, PA",1992.0,economics,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"
93,Gerard,Debreu,7/4/1921,France,Calais,1983.0,economics,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
94,Daniel,Kahneman,3/5/1934,British Mandate of Palestine (now Israel),Tel Aviv,2002.0,economics,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"
95,Roger B.,Myerson,3/29/1951,USA,"Boston, MA",2007.0,economics,for having laid the foundations of mechanism design theory
96,Leonid,Hurwicz,8/21/1917,Russia,Moscow,2007.0,economics,for having laid the foundations of mechanism design theory
97,Eric S.,Maskin,12/12/1950,USA,"New York, NY",2007.0,economics,for having laid the foundations of mechanism design theory
98,Richard,Stone,8/30/1913,United Kingdom,London,1984.0,economics,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
99,Robert W.,Fogel,7/1/1927,USA,"New York, NY",1993.0,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
100,Douglass C.,North,11/5/1920,USA,"Cambridge, MA",1993.0,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
101,Milton,Friedman,7/31/1912,USA,"Brooklyn, NY",1976.0,economics,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy"
102,William Butler,Yeats,06/13/1865,Ireland,Dublin,1923.0,literature,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"
103,Angus,Deaton,10/19/1945,United Kingdom,Edinburgh,2015.0,economics,"for his analysis of consumption, poverty, and welfare"
104,Oliver E.,Williamson,9/27/1932,USA,"Superior, WI",2009.0,economics,"for his analysis of economic governance, especially the boundaries of the firm"
105,James,Tobin,3/5/1918,USA,"Champaign, IL",1981.0,economics,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"
106,Edmund S.,Phelps,7/26/1933,USA,"Evanston, IL",2006.0,economics,for his analysis of intertemporal tradeoffs in macroeconomic policy
107,Jean,Tirole,8/9/1953,France,Troyes,2014.0,economics,for his analysis of market power and regulation
108,Robert A.,Mundell,10/24/1932,Canada,"Kingston, ON",1999.0,economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
109,Paul,Krugman,2/28/1953,USA,"New York, NY",2008.0,economics,for his analysis of trade patterns and location of economic activity
110,Henrik,Pontoppidan,07/24/1857,Denmark,Fredericia,1917.0,literature,for his authentic descriptions of present-day life in Denmark
111,Pyotr Leonidovich,Kapitsa,07/09/1894,Russian Empire (now Russia),Kronshtadt,1978.0,physics,for his basic inventions and discoveries in the area of low-temperature physics
112,Eduard,Buchner,05/20/1860,Bavaria (now Germany),Munich,1907.0,chemistry,for his biochemical researches and his discovery of cell-free fermentation
113,Luigi,Pirandello,06/28/1867,Italy,"Agrigento, Sicily",1934.0,literature,for his bold and ingenious revival of dramatic and scenic art
114,Mario,Vargas Llosa,3/28/1936,Peru,Arequipa,2010.0,literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"
115,Trygve,Haavelmo,12/13/1911,Norway,Skedsmo,1989.0,economics,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
116,Andr_ Paul Guillaume,Gide,11/22/1869,France,Paris,1947.0,literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"
117,George A.,Olah,5/22/1927,Hungary,Budapest,1994.0,chemistry,for his contribution to carbocation chemistry
118,Kai M.,Siegbahn,4/19/1918,Sweden,Lund,1981.0,physics,for his contribution to the development of high-resolution electron spectroscopy
119,Otto,Stern,02/17/1888,Germany (now Poland),Sorau (now Zory),1943.0,physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
120,Roy J.,Glauber,9/1/1925,USA,"New York, NY",2005.0,physics,for his contribution to the quantum theory of optical coherence
121,Peter D.,Mitchell,9/29/1920,United Kingdom,Mitcham,1978.0,chemistry,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
122,Murray,Gell-Mann,9/15/1929,USA,"New York, NY",1969.0,physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions
123,William Francis,Giauque,05/12/1895,Canada,Niagara Falls,1949.0,chemistry,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"
124,Ilya,Prigogine,1/25/1917,Russia,Moscow,1977.0,chemistry,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"
125,Petrus (Peter) Josephus Wilhelmus,Debye,03/24/1884,the Netherlands,Maastricht,1936.0,chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
126,Frederick,Soddy,09/02/1877,United Kingdom,Eastbourne,1921.0,chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"
127,Richard R.,Ernst,8/14/1933,Switzerland,Winterthur,1991.0,chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
128,Gerhard,Herzberg,12/25/1904,Germany,Hamburg,1971.0,chemistry,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
129,Robert M.,Solow,8/23/1924,USA,"Brooklyn, NY",1987.0,economics,for his contributions to the theory of economic growth
130,Rudolph A.,Marcus,7/21/1923,Canada,Montreal,1992.0,chemistry,for his contributions to the theory of electron transfer reactions in chemical systems
131,Hans Albrecht,Bethe,7/2/1906,Germany (now France),Strassburg (now Strasbourg),1967.0,physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"
132,Eugene Paul,Wigner,11/17/1902,Austria-Hungary (now Hungary),Budapest,1963.0,physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"
133,Amartya,Sen,11/3/1933,India,Santiniketan,1998.0,economics,for his contributions to welfare economics
134,Jimmy,Carter,10/1/1924,USA,"Plains, GA",2002.0,peace,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"
135,Luis Walter,Alvarez,6/13/1911,USA,"San Francisco, CA",1968.0,physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"
136,Frans Eemil,Sillanp__,09/16/1888,Russian Empire (now Finland),H_meenkyr_,1939.0,literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
137,Richard Adolf,Zsigmondy,04/01/1865,Austrian Empire (now Austria),Vienna,1925.0,chemistry,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"
138,Frits,Zernike,07/16/1888,the Netherlands,Amsterdam,1953.0,physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"
139,Enrico,Fermi,9/29/1901,Italy,Rome,1938.0,physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"
140,John A.,Pople,10/31/1925,United Kingdom,Burnham-on-Sea,1998.0,chemistry,for his development of computational methods in quantum chemistry
141,Aaron,Klug,8/11/1926,Lithuania,Zelvas,1982.0,chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
142,Robert Bruce,Merrifield,7/15/1921,USA,"Fort Worth, TX",1984.0,chemistry,for his development of methodology for chemical synthesis on a solid matrix
143,Kurt,Wothrich,10/4/1938,Switzerland,Aarberg,2002.0,chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
144,James M.,Buchanan Jr.,10/3/1919,USA,"Murfreesboro, TN",1986.0,economics,for his development of the contractual and constitutional bases for the theory of economic and political decision-making
145,Walter,Kohn,3/9/1923,Austria,Vienna,1998.0,chemistry,for his development of the density-functional theory
146,Cecil Frank,Powell,12/5/1903,United Kingdom,Tonbridge,1950.0,physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
147,Elias James,Corey,7/12/1928,USA,"Methuen, MA",1990.0,chemistry,for his development of the theory and methodology of organic synthesis
148,Patrick Maynard Stuart,Blackett,11/18/1897,United Kingdom,London,1948.0,physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"
149,Daniel L.,McFadden,7/29/1937,USA,"Raleigh, NC",2000.0,economics,for his development of theory and methods for analyzing discrete choice
150,James J.,Heckman,4/19/1944,USA,"Chicago, IL",2000.0,economics,for his development of theory and methods for analyzing selective samples
151,Irving,Langmuir,01/31/1881,USA,"Brooklyn, NY",1932.0,chemistry,for his discoveries and investigations in surface chemistry
152,Karl Manne Georg,Siegbahn,12/03/1886,Sweden,Lund,1924.0,physics,for his discoveries and research in the field of X-ray spectroscopy
153,Joshua,Lederberg,5/23/1925,USA,"Montclair, NJ",1958.0,medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
154,Charles Brenton,Huggins,9/22/1901,Canada,Halifax,1966.0,medicine,for his discoveries concerning hormonal treatment of prostatic cancer
155,Willis Eugene,Lamb,7/12/1913,USA,"Los Angeles, CA",1955.0,physics,for his discoveries concerning the fine structure of the hydrogen spectrum
156,Roger W.,Sperry,8/19/1913,USA,"Hartford, CT",1981.0,medicine,for his discoveries concerning the functional specialization of the cerebral hemispheres
157,Earl W.,"Sutherland, Jr.",11/19/1915,USA,"Burlingame, KS",1971.0,medicine,for his discoveries concerning the mechanisms of the action of hormones
158,Axel Hugo Theodor,Theorell,7/6/1903,Sweden,Link_ping,1955.0,medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes
159,Thomas Hunt,Morgan,09/25/1866,USA,"Lexington, KY",1933.0,medicine,for his discoveries concerning the role played by the chromosome in heredity
160,Max,Theiler,01/30/1899,South Africa,Pretoria,1951.0,medicine,for his discoveries concerning yellow fever and how to combat it
161,Albert,von Szent-Gy_rgyi Nagyrˆpolt,09/16/1893,Austria-Hungary (now Hungary),Budapest,1937.0,medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
162,Hermann,Staudinger,03/23/1881,Germany,Worms,1953.0,chemistry,for his discoveries in the field of macromolecular chemistry
163,Hermann,Staudinger,03/23/1881,Germany,Worms,1953.0,chemistry,for his discoveries in the field of macromolecular chemistry
164,Georg,von B_k_sy,06/03/1899,Hungary,Budapest,1961.0,medicine,for his discoveries of the physical mechanism of stimulation within the cochlea
165,Wilhelm,Wien,01/13/1864,Prussia (now Russia),Gaffken (now Parusnoye),1911.0,physics,for his discoveries regarding the laws governing the radiation of heat
166,Jules,Bordet,06/13/1870,Belgium,Soignies,1919.0,medicine,for his discoveries relating to immunity
167,Daniel,Bovet,3/23/1907,Switzerland,NeuchŠtel,1957.0,medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"
168,Ronald H.,Coase,12/29/1910,United Kingdom,Willesden,1991.0,economics,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
169,Jaroslav,Heyrovsky,12/20/1890,Austria-Hungary (now Czech Republic),Prague,1959.0,chemistry,for his discovery and development of the polarographic methods of analysis
170,Fritz Albert,Lipmann,06/12/1899,Germany (now Russia),Koenigsberg (now Kaliningrad),1953.0,medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism
171,Victor Franz,Hess,06/24/1883,Austria,Peggau,1936.0,physics,for his discovery of cosmic radiation
172,Harold Clayton,Urey,04/29/1893,USA,"Walkerton, IN",1934.0,chemistry,for his discovery of heavy hydrogen
173,Karl,Landsteiner,06/14/1868,Austrian Empire (now Austria),Vienna,1930.0,medicine,for his discovery of human blood groups
174,Harald,zur Hausen,3/11/1936,Germany,Gelsenkirchen,2008.0,medicine,for his discovery of human papilloma viruses causing cervical cancer
175,Stanley B.,Prusiner,5/28/1942,USA,"Des Moines, IA",1997.0,medicine,for his discovery of Prions - a new biological principle of infection
176,Selman Abraham,Waksman,07/22/1888,Russian Empire (now Ukraine),Priluka (now Nova Pryluka),1952.0,medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis"
177,Luis F.,Leloir,9/6/1906,France,Paris,1970.0,chemistry,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
178,Christiaan,Eijkman,08/11/1858,the Netherlands,Nijkerk,1929.0,medicine,for his discovery of the antineuritic vitamin
179,Schack August Steenberg,Krogh,11/15/1874,Denmark,Grene,1920.0,medicine,for his discovery of the capillary motor regulating mechanism
180,Charles Glover,Barkla,06/07/1877,United Kingdom,Widnes,1917.0,physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements
181,Edward Adelbert,Doisy,11/13/1893,USA,"Hume, IL",1943.0,medicine,for his discovery of the chemical nature of vitamin K
182,Hans Adolf,Krebs,8/25/1900,Germany,Hildesheim,1953.0,medicine,for his discovery of the citric acid cycle
183,Ralph M.,Steinman,1/14/1943,Canada,Montreal,2011.0,medicine,for his discovery of the dendritic cell and its role in adaptive immunity
184,Max,von Laue,10/09/1879,Germany,Pfaffendorf,1914.0,physics,for his discovery of the diffraction of X-rays by crystals
185,Johannes,Stark,04/15/1874,Germany,Schickenhof,1919.0,physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
186,Arthur Holly,Compton,09/10/1892,USA,"Wooster, OH",1927.0,physics,for his discovery of the effect named after him
187,Otto,Hahn,03/08/1879,Germany,Frankfurt-on-the-Main,1944.0,chemistry,for his discovery of the fission of heavy nuclei
188,Otto Fritz,Meyerhof,04/12/1884,Germany,Hanover,1922.0,medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
189,Walter Rudolf,Hess,03/17/1881,Switzerland,Frauenfeld,1949.0,medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
190,Susumu,Tonegawa,9/6/1939,Japan,Nagoya,1987.0,medicine,for his discovery of the genetic principle for generation of antibody diversity
191,Sir Frederick Gowland,Hopkins,06/20/1861,United Kingdom,Eastbourne,1929.0,medicine,for his discovery of the growth-stimulating vitamins
192,Paul Hermann,Môller,01/12/1899,Switzerland,Olten,1948.0,medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods
193,Willem,Einthoven,05/21/1860,"Java, Dutch East Indies (now Indonesia)",Semarang,1924.0,medicine,for his discovery of the mechanism of the electrocardiogram
