id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
67,Kansas,Goodland,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.24,53.65,41,11,S,0,0,1014,0,1606327200,-25200
68,Kansas,Goodland,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.24,50.11,46,18,N,0,0,1014,1,1606413600,-25200
69,Kansas,Goodland,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.59,47.88,49,9,NW,0,0,1026,0,1606500000,-25200
70,Kansas,Goodland,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.98,62.46,31,11,SW,0,0,1019,0,1606586400,-25200
71,Kansas,Topeka,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,48.02,53.92,74,21,S,3.9,0,1009,98,1606240800,-21600
72,Kansas,Topeka,2,Thu 11/26,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,40.82,54.54,74,16,NW,4.12,0,1012,99,1606327200,-21600
73,Kansas,Topeka,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.26,58.1,43,9,SE,0,0,1014,0,1606413600,-21600
74,Kansas,Topeka,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.49,51.22,48,14,NW,0,0,1023,5,1606500000,-21600
75,Kansas,Topeka,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.3,52.79,45,8,S,0,0,1024,0,1606586400,-21600
76,Kansas,Wichita,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,51.69,57.56,86,19,SE,6.87,0,1007,98,1606240800,-21600
77,Kansas,Wichita,2,Thu 11/26,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.29,52.16,52,12,W,3.03,0,1015,20,1606327200,-21600
78,Kansas,Wichita,3,Fri 11/27,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,41.23,57.92,45,12,SE,0,0,1012,26,1606413600,-21600
79,Kansas,Wichita,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,41.29,52.47,44,12,NW,0,0,1025,0,1606500000,-21600
80,Kansas,Wichita,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.74,54.81,43,8,S,0,0,1023,0,1606586400,-21600
81,Kentucky,Jackson,1,Tue 11/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.97,52.83,52,3,SE,0,0,1025,98,1606237200,-18000
82,Kentucky,Jackson,2,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.53,58.82,66,15,S,3.39,0,1018,100,1606323600,-18000
83,Kentucky,Jackson,3,Thu 11/26,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,47.43,59.31,65,7,SW,0.92,0,1018,0,1606410000,-18000
84,Kentucky,Jackson,4,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.33,62.38,53,5,S,0,0,1017,0,1606496400,-18000
85,Kentucky,Jackson,5,Sat 11/28,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.84,53.62,53,5,NW,0.36,0,1021,69,1606582800,-18000
86,Kentucky,Louisville,1,Tue 11/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.51,52.9,56,8,SE,0,0,1024,98,1606237200,-18000
87,Kentucky,Louisville,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,49.15,60.44,91,15,S,25.49,0,1013,100,1606323600,-18000
88,Kentucky,Louisville,3,Thu 11/26,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,45.73,55.08,78,6,SW,0,0,1018,94,1606410000,-18000
89,Kentucky,Louisville,4,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.37,60.53,62,6,S,0,0,1016,0,1606496400,-18000
90,Kentucky,Louisville,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.62,48.61,51,6,NW,0,0,1023,0,1606582800,-18000
91,Kentucky,Paducah,1,Tue 11/24,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,41.47,52.88,60,11,SE,0,0,1021,79,1606237200,-21600
92,Kentucky,Paducah,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,50.54,69.42,67,23,S,24.54,0,1009,61,1606323600,-21600
93,Kentucky,Paducah,3,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.74,59.13,68,5,S,0,0,1018,2,1606410000,-21600
94,Kentucky,Paducah,4,Fri 11/27,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,45.77,61.25,65,5,S,0,0,1015,46,1606496400,-21600
95,Kentucky,Paducah,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.4,48.22,53,8,N,0,0,1024,0,1606582800,-21600
96,Michigan,Detroit/Pontiac,1,Tue 11/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,24.44,37.27,76,9,SE,3.63,0,1026,87,1606237200,-18000
97,Michigan,Detroit/Pontiac,2,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.12,47.95,96,10,SE,8.29,0,1013,100,1606323600,-18000
98,Michigan,Detroit/Pontiac,3,Thu 11/26,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,47.03,52.38,83,10,W,3.8,0,1013,88,1606410000,-18000
99,Michigan,Detroit/Pontiac,4,Fri 11/27,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.18,50.85,71,9,S,1.85,0,1015,46,1606496400,-18000
100,Michigan,Detroit/Pontiac,5,Sat 11/28,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.31,43.11,66,9,W,0.55,0,1020,11,1606582800,-18000
101,Michigan,Gaylord,1,Tue 11/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,23.72,32.59,81,12,SE,0,0,1025,98,1606237200,-18000
102,Michigan,Gaylord,2,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,32.85,39.13,93,4,E,6.89,0,1014,98,1606323600,-18000
103,Michigan,Gaylord,3,Thu 11/26,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.72,44.31,93,7,SW,0,0,1012,98,1606410000,-18000
104,Michigan,Gaylord,4,Fri 11/27,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.58,40.84,80,7,W,0,0,1014,99,1606496400,-18000
105,Michigan,Gaylord,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.59,37.31,74,13,SW,0,0,1017,10,1606582800,-18000
106,Michigan,Grand Rapids,1,Tue 11/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,28,36.46,90,11,SE,3.73,0,1025,95,1606237200,-18000
107,Michigan,Grand Rapids,2,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.08,44.6,97,9,E,5.89,0,1011,100,1606323600,-18000
108,Michigan,Grand Rapids,3,Thu 11/26,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,43.72,49.33,79,12,SW,0.24,0,1014,92,1606410000,-18000
109,Michigan,Grand Rapids,4,Fri 11/27,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,35.28,46.83,68,10,SW,0,0,1015,83,1606496400,-18000
110,Michigan,Grand Rapids,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.47,39.97,69,12,SW,0,0,1020,0,1606582800,-18000
111,Michigan,Marquette,1,Tue 11/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,19.56,33.76,92,12,SE,0,0,1021,98,1606237200,-18000
112,Michigan,Marquette,2,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,34.48,38.62,91,3,NE,0.3,0,1014,86,1606323600,-18000
113,Michigan,Marquette,3,Thu 11/26,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,33.46,39.94,81,10,S,0,0,1010,81,1606410000,-18000
114,Michigan,Marquette,4,Fri 11/27,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,26.55,33.39,89,8,NW,0,0,1016,100,1606496400,-18000
115,Michigan,Marquette,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,26.73,38.5,71,10,SW,0,0,1014,8,1606582800,-18000
116,Minnesota,Duluth,1,Tue 11/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,23.77,31.89,94,7,SE,0.59,0,1015,98,1606237200,-21600
117,Minnesota,Duluth,2,Wed 11/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,26.67,32.04,98,2,SE,0,0,1014,97,1606323600,-21600
118,Minnesota,Duluth,3,Thu 11/26,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.74,34.14,95,9,SW,0,0,1008,64,1606410000,-21600
119,Minnesota,Duluth,4,Fri 11/27,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,23.79,28.8,92,9,W,0,0,1018,85,1606496400,-21600
120,Minnesota,Duluth,5,Sat 11/28,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,24.49,34.52,85,9,SW,0,0,1012,58,1606582800,-21600
121,Minnesota,Chanhassen/Twin Cities,1,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.78,37.67,91,9,SE,1.37,0,1013,98,1606240800,-21600
122,Minnesota,Chanhassen/Twin Cities,2,Thu 11/26,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.15,39.22,88,5,N,0,0,1013,100,1606327200,-21600
123,Minnesota,Chanhassen/Twin Cities,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.56,43.43,63,11,SW,0,0,1009,0,1606413600,-21600
124,Minnesota,Chanhassen/Twin Cities,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,28.09,37.45,77,7,W,0,0,1021,0,1606500000,-21600
125,Minnesota,Chanhassen/Twin Cities,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,28.99,45.66,60,14,S,0,0,1016,6,1606586400,-21600
126,Missouri,Kansas City/Pleasant Hill,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,46.08,53.24,78,19,S,8.84,0,1011,100,1606240800,-21600
127,Missouri,Kansas City/Pleasant Hill,2,Thu 11/26,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.74,53.65,86,15,W,3.9,0,1010,99,1606327200,-21600
128,Missouri,Kansas City/Pleasant Hill,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.02,56.52,53,8,S,0,0,1015,0,1606413600,-21600
129,Missouri,Kansas City/Pleasant Hill,4,Sat 11/28,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,37.72,49.28,49,15,NW,0,0,1021,23,1606500000,-21600
130,Missouri,Kansas City/Pleasant Hill,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.23,49.5,50,4,SW,0,0,1025,0,1606586400,-21600
131,Missouri,Springfield,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,44.49,51.15,67,18,SE,3.07,0,1015,98,1606240800,-21600
132,Missouri,Springfield,2,Thu 11/26,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.71,54.77,83,19,SW,8.34,0,1012,100,1606327200,-21600
133,Missouri,Springfield,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.86,57.45,57,10,SE,0,0,1016,0,1606413600,-21600
134,Missouri,Springfield,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.06,52.39,70,14,NW,0,0,1019,7,1606500000,-21600
135,Missouri,Springfield,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.31,47.23,55,3,NW,0,0,1025,0,1606586400,-21600
136,Missouri,St. Louis,1,Tue 11/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.58,53.67,57,13,SE,2.82,0,1018,98,1606237200,-21600
137,Missouri,St. Louis,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,49.51,56.71,74,15,SW,12.44,0,1006,67,1606323600,-21600
138,Missouri,St. Louis,3,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.88,57.45,67,6,S,0,0,1017,7,1606410000,-21600
139,Missouri,St. Louis,4,Fri 11/27,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,40.26,51.17,76,9,W,0,0,1016,36,1606496400,-21600
140,Missouri,St. Louis,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.44,47.01,55,2,NW,0,0,1025,0,1606582800,-21600
141,Nebraska,Hastings,1,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,38.25,49.3,94,16,NW,16.38,0,1007,98,1606240800,-21600
142,Nebraska,Hastings,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.91,49.15,57,9,NW,0,0,1016,0,1606327200,-21600
143,Nebraska,Hastings,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.61,50.88,48,11,N,0,0,1013,0,1606413600,-21600
144,Nebraska,Hastings,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.7,47.59,48,15,NW,0,0,1024,0,1606500000,-21600
145,Nebraska,Hastings,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.19,55.29,42,11,S,0,0,1021,0,1606586400,-21600
146,Nebraska,North Platte,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,35.35,43.03,77,18,N,5.62,0,1011,98,1606240800,-21600
147,Nebraska,North Platte,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.66,51.48,51,9,SW,0,0,1013,0,1606327200,-21600
148,Nebraska,North Platte,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.02,48.18,55,11,N,0,0,1014,0,1606413600,-21600
149,Nebraska,North Platte,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.13,47.3,52,14,W,0,0,1025,0,1606500000,-21600
150,Nebraska,North Platte,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.46,59.05,39,12,SW,0,0,1018,0,1606586400,-21600
151,Nebraska,Omaha/Valley,1,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,37.6,44.85,98,8,NE,31.26,0,1008,100,1606240800,-21600
