date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
8/17/2021,Nevada,3091757,3487330,1731241,46.04,100.38,1418246,56.21,113.22,4876,7203,2339,0.887,,
8/18/2021,Nevada,3097258,3494890,1734034,46.14,100.56,1421176,56.3,113.46,5501,7296,2369,0.886,,
8/19/2021,Nevada,3105565,3516430,1738136,46.26,100.82,1424847,56.43,114.16,8307,7871,2555,0.883,,3.66
8/20/2021,Nevada,3114923,3562290,1742907,46.39,101.13,1428942,56.59,115.65,9358,7617,2473,0.874,,3.7
8/21/2021,Nevada,3124307,3590410,1747735,46.53,101.43,1433074,56.74,116.57,9384,7746,2515,0.87,,3.76
8/22/2021,Nevada,3132617,3590410,1751946,46.65,101.7,1436885,56.88,116.57,8310,7950,2581,0.872,,3.83
8/23/2021,Nevada,3143369,3590410,1756773,46.81,102.05,1441961,57.04,116.57,10752,8070,2620,0.875,,3.83
8/24/2021,Nevada,3148258,3590410,1758945,46.89,102.21,1444294,57.11,116.57,4889,8072,2621,0.877,,3.83
8/25/2021,Nevada,3154754,3605680,1761984,47,102.42,1447757,57.2,117.06,6496,8214,2667,0.875,,3.94
8/26/2021,Nevada,3164474,3657070,1766707,47.16,102.74,1452486,57.36,118.73,9720,8416,2732,0.865,,3.94
8/27/2021,Nevada,3173633,3682790,1771086,47.3,103.03,1456877,57.5,119.57,9159,8387,2723,0.862,,4.03
8/28/2021,Nevada,3181645,3702040,1775020,47.43,103.29,1460802,57.63,120.19,8012,8191,2659,0.859,,4.07
8/29/2021,Nevada,3191664,3708620,1779706,47.59,103.62,1465862,57.78,120.4,10019,8435,2738,0.861,,4.12
8/30/2021,Nevada,3201118,3708620,1783825,47.75,103.93,1470641,57.91,120.4,9454,8250,2678,0.863,,4.12
8/31/2021,Nevada,3206423,3709740,1786070,47.84,104.1,1473532,57.99,120.44,5305,8309,2698,0.864,,
9/1/2021,Nevada,3213855,3725240,1789543,47.97,104.34,1477405,58.1,120.94,7432,8443,2741,0.863,,
9/2/2021,Nevada,3219810,3738020,1792453,48.06,104.53,1480400,58.19,121.36,5955,7905,2566,0.861,,4.46
9/3/2021,Nevada,3228433,3753490,1796770,48.2,104.81,1484531,58.33,121.86,8623,7829,2542,0.86,,4.55
9/4/2021,Nevada,3236303,3784610,1800664,48.31,105.07,1488110,58.46,122.87,7870,7808,2535,0.855,,4.55
9/5/2021,Nevada,,,,,,,,,,7298,2369,,,4.55
9/6/2021,Nevada,,,,,,,,,,6868,2230,,,4.55
