id,Name,Calories,Grams of  Protein,Grams of Fat,Grams of Sodium,Grams of Fiber,Grams of Carbohydrates,Grams of Sugars,Cups Per Serving,Box Image
39,Kix,110.0,2.0,1.0,260.0,0.0,21.0,3.0,1.5,https://images.heb.com/is/image/HEBGrocery/000984248
40,Life,100.0,4.0,2.0,150.0,2.0,12.0,6.0,0.67,https://images-na.ssl-images-amazon.com/images/I/81kAJpLYR6L._SY445_.jpg
41,Lucky Charms,110.0,2.0,1.0,180.0,0.0,12.0,12.0,1.0,https://www.kroger.com/product/images/xlarge/front/0001600012399
42,Maypo,100.0,4.0,1.0,0.0,0.0,16.0,3.0,1.0,https://images-na.ssl-images-amazon.com/images/I/81i3wta3p8L._SL1500_.jpg
43,Multi-Grain Cheerios,100.0,2.0,1.0,220.0,2.0,15.0,6.0,1.0,"https://images-na.ssl-images-amazon.com/images/I/81-If8waNEL._SX569_PIbundle-2,TopRight,0,0_AA569SH20_.jpg"
44,Nut&Honey Crunch,120.0,2.0,1.0,190.0,0.0,15.0,9.0,0.67,https://www.mrbreakfast.com/cereal/c_717_nut_honey_crunch_box.jpg
45,Nutri-grain Wheat,90.0,3.0,0.0,170.0,3.0,18.0,2.0,1.0,https://i.pinimg.com/originals/2e/a6/c4/2ea6c422e199250adc0938bfce799b61.gif
46,Oatmeal Raisin Crisp,130.0,3.0,2.0,170.0,1.5,13.5,10.0,0.5,https://jetimages.jetcdn.net/md5/a5005e3cf3649e661ecae4229647e194?odnBound=576
47,Product 19,100.0,3.0,0.0,320.0,1.0,20.0,3.0,1.0,https://images-na.ssl-images-amazon.com/images/I/91czSVoNLcL._SY445_.jpg
48,Puffed Rice,50.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,https://media.swansonvitamins.com/images/items/master/AHM019.jpg
49,Puffed Wheat,50.0,2.0,0.0,0.0,1.0,10.0,0.0,1.0,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b6a5e99f-0583-43e3-9ab3-f47b0c5ef259.jpg
50,Quaker Oat Squares,100.0,4.0,1.0,135.0,2.0,14.0,6.0,0.5,https://target.scene7.com/is/image/Target/GUEST_46a60cc8-f22e-4534-b20b-ba747da20cd3?wid=488&hei=488&fmt=pjpeg
51,Raisin Bran,120.0,3.0,1.0,210.0,5.0,14.0,12.0,0.75,https://cdn3.volusion.com/no4tr.u43q3/v/vspfiles/photos/DE689934-2.jpg?v-cache=1555470071
52,Raisin Nut Bran,100.0,3.0,2.0,140.0,2.5,10.5,8.0,0.5,https://images-na.ssl-images-amazon.com/images/I/81%2BnuQXdciL._SL1500_.jpg
53,Raisin Squares,90.0,2.0,0.0,0.0,2.0,15.0,6.0,0.5,https://dlisted.com/wp-content/uploads/2017/04/hbraisingsquares-500x645.jpg
54,Rice Chex,110.0,1.0,0.0,240.0,0.0,23.0,2.0,1.13,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00016000487956/f8d7399427fbb20cb9eee4cbbc21cb07_large.png&width=512&type=webp&quality=40
55,Rice Krispies,110.0,2.0,0.0,290.0,0.0,22.0,3.0,1.0,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00038000199943/7347f13d8dd3b7c9860b1026827bb21e_large.png&width=512&type=webp&quality=40
56,Shredded Wheat,80.0,2.0,0.0,0.0,3.0,16.0,0.0,1.0,https://target.scene7.com/is/image/Target/GUEST_d2b4e1ff-61ac-4f0d-9fce-21ea3f6d1683?wid=488&hei=488&fmt=pjpeg
57,Shredded Wheat 'n'Bran,90.0,3.0,0.0,0.0,4.0,19.0,0.0,0.67,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5eeac9c7-b077-46db-add2-76631d41188f.JPG
58,Smacks,110.0,2.0,1.0,70.0,1.0,9.0,15.0,0.75,https://images-na.ssl-images-amazon.com/images/I/81z%2BbYy3umL._SL1500_.jpg
59,Special K,110.0,6.0,0.0,230.0,1.0,16.0,3.0,1.0,https://www.kroger.com/product/images/xlarge/front/0003800001621
60,Strawberry Fruit Wheats,90.0,2.0,0.0,15.0,3.0,15.0,5.0,1.0,https://qph.fs.quoracdn.net/main-qimg-3c5272dfae73636928be9b19331e8659
61,Total Raisin Bran,140.0,3.0,1.0,190.0,4.0,15.0,14.0,1.0,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5c9885b7-30ac-43ab-8a68-f5150647e0dc.JPG
62,Total Whole Grain,100.0,3.0,1.0,200.0,3.0,16.0,3.0,1.0,https://images-na.ssl-images-amazon.com/images/I/91RUVgFAV0L._SL1500_.jpg
63,Triples,110.0,2.0,1.0,250.0,0.0,21.0,3.0,0.75,https://i.pinimg.com/originals/a6/8c/6c/a68c6cecce2a14fdcee754e1a251ff35.jpg
64,Trix,110.0,1.0,1.0,140.0,0.0,13.0,12.0,1.0,https://www.kroger.com/product/images/xlarge/front/0001600027532
65,Wheat Chex,100.0,3.0,1.0,230.0,3.0,17.0,3.0,0.67,https://images-na.ssl-images-amazon.com/images/I/91iI6c5xyRL._SY445_.jpg
66,Wheaties,100.0,3.0,1.0,200.0,3.0,17.0,3.0,1.0,https://images-na.ssl-images-amazon.com/images/I/619Rd-4%2B2mL._AC_SY606_.jpg
67,Wheaties Honey Gold,110.0,2.0,1.0,200.0,1.0,16.0,8.0,0.75,https://www.mrbreakfast.com/cereal/c_1196_wheaties_honey_gold_box_front.jpg
