id,Season,Location,Round/Stage,Obstacle Name,Obstacle Order
42,2.0,Venice,Qualifying,Rope Swing,2.0
43,2.0,Venice,Qualifying,Bridge of Blades,3.0
44,2.0,Venice,Qualifying,Jumping Spider,4.0
45,2.0,Venice,Qualifying,Jumping Bars,5.0
46,2.0,Venice,Qualifying,Warped Wall,6.0
47,2.0,Venice,Semi-Finals,Quad Steps,1.0
48,2.0,Venice,Semi-Finals,Rope Swing,2.0
49,2.0,Venice,Semi-Finals,Bridge of Blades,3.0
50,2.0,Venice,Semi-Finals,Jumping Spider,4.0
51,2.0,Venice,Semi-Finals,Jumping Bars,5.0
52,2.0,Venice,Semi-Finals,Warped Wall,6.0
53,2.0,Venice,Semi-Finals,Salmon Ladder,7.0
54,2.0,Venice,Semi-Finals,Circle Slider,8.0
55,2.0,Venice,Semi-Finals,Cargo Climb,9.0
56,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Step Slider,1.0
57,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Hazard Swing,2.0
58,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Rolling Escargot,3.0
59,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Jumping Spider,4.0
60,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Half-Pipe Attack,5.0
61,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Warped Wall,6.0
62,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Giant Swing,7.0
63,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Tarzan Rope,8.0
64,2.0,Sasuke 26 (Japan),National Finals - Stage 1,Rope Ladder,9.0
65,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Slider Drop,1.0
66,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Double Salmon Ladder,2.0
67,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Unstable Bridge,3.0
68,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Balance Tank,4.0
69,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Metal Spin,5.0
70,2.0,Sasuke 26 (Japan),National Finals - Stage 2,Wall Lift,6.0
71,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Roulette Cylinder,1.0
72,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Doorknob Grasper,2.0
73,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Cycle Road,3.0
74,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Ultimate Cliffhanger,4.0
75,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Swing Circle,5.0
76,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Bungee Rope Climb,6.0
77,2.0,Sasuke 26 (Japan),National Finals - Stage 3,Flying Bar,7.0
78,2.0,Sasuke 26 (Japan),National Finals - Stage 4,Rope Climb,1.0
79,3.0,Venice,Qualifying,Quad Steps,1.0
80,3.0,Venice,Qualifying,Log Grip,2.0
81,3.0,Venice,Qualifying,Bridge of Blades,3.0
82,3.0,Venice,Qualifying,Jump Hang,4.0
83,3.0,Venice,Qualifying,Jumping Bars,5.0
84,3.0,Venice,Qualifying,Warped Wall,6.0
85,3.0,Venice,Semi-Finals,Quad Steps,1.0
86,3.0,Venice,Semi-Finals,Log Grip,2.0
87,3.0,Venice,Semi-Finals,Bridge of Blades,3.0
88,3.0,Venice,Semi-Finals,Jump Hang,4.0
89,3.0,Venice,Semi-Finals,Jumping Bars,5.0
90,3.0,Venice,Semi-Finals,Warped Wall,6.0
91,3.0,Venice,Semi-Finals,Salmon Ladder,7.0
92,3.0,Venice,Semi-Finals,Unstable Bridge,8.0
93,3.0,Venice,Semi-Finals,Cargo Climb,9.0
94,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Step Slider,1.0
95,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Rolling Escargot,2.0
96,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Giant Swing,3.0
97,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Jumping Spider,4.0
98,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Half-Pipe Attack,5.0
99,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Warped Wall,6.0
100,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Spinning Bridge,7.0
101,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Tarzan Rope,8.0
102,3.0,Sasuke 27 (Japan),National Finals - Stage 1,Rope Ladder,9.0
103,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Slider Drop,1.0
104,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Double Salmon Ladder,2.0
105,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Unstable Bridge,3.0
106,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Balance Tank,4.0
107,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Metal Spin,5.0
108,3.0,Sasuke 27 (Japan),National Finals - Stage 2,Wall Lift,6.0
109,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Arm Bike,1.0
110,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Flying Bar,2.0
111,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Ultimate Cliffhanger,3.0
112,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Jumping Rings,4.0
113,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Chain Seesaw,5.0
114,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Bungee Rope Climb,6.0
115,3.0,Sasuke 27 (Japan),National Finals - Stage 3,Bar Glider,7.0
116,3.0,Sasuke 27 (Japan),National Finals - Stage 4,Rope Climb,1.0
117,4.0,Southwest,Qualifying (Regional/City),Quad Steps,1.0
118,4.0,Southwest,Qualifying (Regional/City),Log Grip,2.0
119,4.0,Southwest,Qualifying (Regional/City),Spinning Log,3.0
120,4.0,Southwest,Qualifying (Regional/City),Jump Hang,4.0
121,4.0,Southwest,Qualifying (Regional/City),Devil Steps,5.0
122,4.0,Southwest,Qualifying (Regional/City),Warped Wall,6.0
123,4.0,Southwest,Finals (Regional/City),Quad Steps,1.0
124,4.0,Southwest,Finals (Regional/City),Log Grip,2.0
125,4.0,Southwest,Finals (Regional/City),Spinning Log,3.0
126,4.0,Southwest,Finals (Regional/City),Jump Hang,4.0
127,4.0,Southwest,Finals (Regional/City),Devil Steps,5.0
128,4.0,Southwest,Finals (Regional/City),Warped Wall,6.0
129,4.0,Southwest,Finals (Regional/City),Salmon Ladder,7.0
130,4.0,Southwest,Finals (Regional/City),Arm Rings,8.0
131,4.0,Southwest,Finals (Regional/City),Cargo Climb,9.0
132,4.0,Midwest,Qualifying (Regional/City),Quad Steps,1.0
133,4.0,Midwest,Qualifying (Regional/City),Log Grip,2.0
134,4.0,Midwest,Qualifying (Regional/City),Bridge of Blades,3.0
135,4.0,Midwest,Qualifying (Regional/City),Jump Hang,4.0
136,4.0,Midwest,Qualifying (Regional/City),Curtain Slider,5.0
137,4.0,Midwest,Qualifying (Regional/City),Warped Wall,6.0
138,4.0,Midwest,Finals (Regional/City),Quad Steps,1.0
139,4.0,Midwest,Finals (Regional/City),Log Grip,2.0
140,4.0,Midwest,Finals (Regional/City),Bridge of Blades,3.0
141,4.0,Midwest,Finals (Regional/City),Jump Hang,4.0
142,4.0,Midwest,Finals (Regional/City),Curtain Slider,5.0
143,4.0,Midwest,Finals (Regional/City),Warped Wall,6.0
144,4.0,Midwest,Finals (Regional/City),Salmon Ladder,7.0
145,4.0,Midwest,Finals (Regional/City),Lamp Grasper,8.0
146,4.0,Midwest,Finals (Regional/City),Cargo Climb,9.0
147,4.0,Northeast,Qualifying (Regional/City),Quad Steps,1.0
148,4.0,Northeast,Qualifying (Regional/City),Log Grip,2.0
149,4.0,Northeast,Qualifying (Regional/City),Bungee Bridge,3.0
150,4.0,Northeast,Qualifying (Regional/City),Jump Hang,4.0
151,4.0,Northeast,Qualifying (Regional/City),Jumping Bars,5.0
152,4.0,Northeast,Qualifying (Regional/City),Wall Lift,6.0
153,4.0,Northeast,Qualifying (Regional/City),Warped Wall,7.0
154,4.0,Northeast,Finals (Regional/City),Quad Steps,1.0
155,4.0,Northeast,Finals (Regional/City),Log Grip,2.0
156,4.0,Northeast,Finals (Regional/City),Bungee Bridge,3.0
157,4.0,Northeast,Finals (Regional/City),Jump Hang,4.0
158,4.0,Northeast,Finals (Regional/City),Jumping Bars,5.0
159,4.0,Northeast,Finals (Regional/City),Wall Lift,6.0
160,4.0,Northeast,Finals (Regional/City),Warped Wall,7.0
161,4.0,Northeast,Finals (Regional/City),Salmon Ladder,8.0
162,4.0,Northeast,Finals (Regional/City),Cycle Road,9.0
163,4.0,Northeast,Finals (Regional/City),Cargo Climb,10.0
164,4.0,Northwest,Qualifying (Regional/City),Quad Steps,1.0
165,4.0,Northwest,Qualifying (Regional/City),Log Grip,2.0
166,4.0,Northwest,Qualifying (Regional/City),Spinning Log,3.0
167,4.0,Northwest,Qualifying (Regional/City),Jump Hang,4.0
168,4.0,Northwest,Qualifying (Regional/City),Pipe Slider / Devil Steps,5.0
169,4.0,Northwest,Qualifying (Regional/City),Warped Wall,6.0
170,4.0,Northwest,Finals (Regional/City),Quad Steps,1.0
171,4.0,Northwest,Finals (Regional/City),Log Grip,2.0
172,4.0,Northwest,Finals (Regional/City),Spinning Log,3.0
173,4.0,Northwest,Finals (Regional/City),Jump Hang,4.0
174,4.0,Northwest,Finals (Regional/City),Pipe Slider / Devil Steps,5.0
175,4.0,Northwest,Finals (Regional/City),Warped Wall,6.0
176,4.0,Northwest,Finals (Regional/City),Salmon Ladder,7.0
177,4.0,Northwest,Finals (Regional/City),Arm Rings,8.0
178,4.0,Northwest,Finals (Regional/City),Cargo Climb,9.0
179,4.0,Mid-South,Qualifying (Regional/City),Quad Steps,1.0
180,4.0,Mid-South,Qualifying (Regional/City),Log Grip,2.0
181,4.0,Mid-South,Qualifying (Regional/City),Bridge of Blades,3.0
182,4.0,Mid-South,Qualifying (Regional/City),Jump Hang,4.0
183,4.0,Mid-South,Qualifying (Regional/City),Rope Junction,5.0
184,4.0,Mid-South,Qualifying (Regional/City),Warped Wall,6.0
185,4.0,Mid-South,Finals (Regional/City),Quad Steps,1.0
186,4.0,Mid-South,Finals (Regional/City),Log Grip,2.0
187,4.0,Mid-South,Finals (Regional/City),Bridge of Blades,3.0
188,4.0,Mid-South,Finals (Regional/City),Jump Hang,4.0
189,4.0,Mid-South,Finals (Regional/City),Rope Junction,5.0
190,4.0,Mid-South,Finals (Regional/City),Warped Wall,6.0
191,4.0,Mid-South,Finals (Regional/City),Salmon Ladder,7.0
192,4.0,Mid-South,Finals (Regional/City),Lamp Grasper,8.0
193,4.0,Mid-South,Finals (Regional/City),Cargo Climb,9.0
194,4.0,Southeast,Qualifying (Regional/City),Quad Steps,1.0
195,4.0,Southeast,Qualifying (Regional/City),Log Grip,2.0
196,4.0,Southeast,Qualifying (Regional/City),Bungee Bridge,3.0
197,4.0,Southeast,Qualifying (Regional/City),Jump Hang,4.0
198,4.0,Southeast,Qualifying (Regional/City),Swing Circle,5.0
199,4.0,Southeast,Qualifying (Regional/City),Wall Lift,6.0
200,4.0,Southeast,Qualifying (Regional/City),Warped Wall,7.0
201,4.0,Southeast,Finals (Regional/City),Quad Steps,1.0
202,4.0,Southeast,Finals (Regional/City),Log Grip,2.0
203,4.0,Southeast,Finals (Regional/City),Bungee Bridge,3.0
204,4.0,Southeast,Finals (Regional/City),Jump Hang,4.0
205,4.0,Southeast,Finals (Regional/City),Swing Circle,5.0
206,4.0,Southeast,Finals (Regional/City),Wall Lift,6.0
207,4.0,Southeast,Finals (Regional/City),Warped Wall,7.0
208,4.0,Southeast,Finals (Regional/City),Salmon Ladder,8.0
209,4.0,Southeast,Finals (Regional/City),Cycle Road,9.0
210,4.0,Southeast,Finals (Regional/City),Cargo Climb,10.0
211,4.0,Las Vegas,National Finals - Stage 1,Step Slider,1.0
212,4.0,Las Vegas,National Finals - Stage 1,Rolling Log,2.0
213,4.0,Las Vegas,National Finals - Stage 1,Giant Swing,3.0
214,4.0,Las Vegas,National Finals - Stage 1,Jumping Spider,4.0
215,4.0,Las Vegas,National Finals - Stage 1,Half-Pipe Attack,5.0
216,4.0,Las Vegas,National Finals - Stage 1,Warped Wall,6.0
217,4.0,Las Vegas,National Finals - Stage 1,Spinning Bridge,7.0
218,4.0,Las Vegas,National Finals - Stage 1,Tarzan Rope,8.0
219,4.0,Las Vegas,National Finals - Stage 1,Rope Ladder,9.0
220,4.0,Las Vegas,National Finals - Stage 2,Slider Drop,1.0
221,4.0,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2.0
222,4.0,Las Vegas,National Finals - Stage 2,Unstable Bridge,3.0
223,4.0,Las Vegas,National Finals - Stage 2,Balance Tank,4.0
224,4.0,Las Vegas,National Finals - Stage 2,Metal Spin,5.0
225,4.0,Las Vegas,National Finals - Stage 2,Wall Lift,6.0
226,4.0,Las Vegas,National Finals - Stage 3,Roulette Cylinder,1.0
227,4.0,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2.0
228,4.0,Las Vegas,National Finals - Stage 3,Floating Boards,3.0
229,4.0,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4.0
230,4.0,Las Vegas,National Finals - Stage 3,Bungee Rope Climb,5.0
231,4.0,Las Vegas,National Finals - Stage 3,Hang Climb,6.0
232,4.0,Las Vegas,National Finals - Stage 3,Spider Flip,7.0
233,4.0,Las Vegas,National Finals - Stage 3,Flying Bar,8.0
234,4.0,Las Vegas,National Finals - Stage 4,Rope Climb,1.0
235,5.0,Venice,Qualifying (Regional/City),Quintuple Steps,1.0
236,5.0,Venice,Qualifying (Regional/City),Frame Slider,2.0
237,5.0,Venice,Qualifying (Regional/City),Domino Hill,3.0
238,5.0,Venice,Qualifying (Regional/City),Floating Chains,4.0
239,5.0,Venice,Qualifying (Regional/City),Flying Nunchuks / Trapeze Swing,5.0
240,5.0,Venice,Qualifying (Regional/City),Warped Wall,6.0
241,5.0,Venice,Finals (Regional/City),Quintuple Steps,1.0
242,5.0,Venice,Finals (Regional/City),Frame Slider,2.0
243,5.0,Venice,Finals (Regional/City),Domino Hill,3.0
244,5.0,Venice,Finals (Regional/City),Floating Chains,4.0
245,5.0,Venice,Finals (Regional/City),Flying Nunchuks / Trapeze Swing,5.0
246,5.0,Venice,Finals (Regional/City),Warped Wall,6.0
247,5.0,Venice,Finals (Regional/City),Salmon Ladder,7.0
248,5.0,Venice,Finals (Regional/City),Rope Maze,8.0
249,5.0,Venice,Finals (Regional/City),Cliffhanger,9.0
250,5.0,Venice,Finals (Regional/City),Spider Climb,10.0
251,5.0,Baltimore,Qualifying (Regional/City),Quintuple Steps,1.0
252,5.0,Baltimore,Qualifying (Regional/City),Downhill Jump,2.0
253,5.0,Baltimore,Qualifying (Regional/City),Prism Tilt,3.0
254,5.0,Baltimore,Qualifying (Regional/City),Swing Jump,4.0
255,5.0,Baltimore,Qualifying (Regional/City),Circle Cross,5.0
256,5.0,Baltimore,Qualifying (Regional/City),Warped Wall,6.0
257,5.0,Baltimore,Finals (Regional/City),Quintuple Steps,1.0
258,5.0,Baltimore,Finals (Regional/City),Downhill Jump,2.0
259,5.0,Baltimore,Finals (Regional/City),Prism Tilt,3.0
260,5.0,Baltimore,Finals (Regional/City),Swing Jump,4.0
261,5.0,Baltimore,Finals (Regional/City),Circle Cross,5.0
262,5.0,Baltimore,Finals (Regional/City),Warped Wall,6.0
263,5.0,Baltimore,Finals (Regional/City),Salmon Ladder,7.0
264,5.0,Baltimore,Finals (Regional/City),Rumbling Dice,8.0
265,5.0,Baltimore,Finals (Regional/City),Body Prop,9.0
266,5.0,Baltimore,Finals (Regional/City),Spider Climb,10.0
267,5.0,Miami,Qualifying (Regional/City),Quintuple Steps,1.0
268,5.0,Miami,Qualifying (Regional/City),Utility Pole Slider,2.0
269,5.0,Miami,Qualifying (Regional/City),Balance Bridge,3.0
270,5.0,Miami,Qualifying (Regional/City),Slider Jump,4.0
271,5.0,Miami,Qualifying (Regional/City),Monkey Pegs,5.0
272,5.0,Miami,Qualifying (Regional/City),Warped Wall,6.0
273,5.0,Miami,Finals (Regional/City),Quintuple Steps,1.0
274,5.0,Miami,Finals (Regional/City),Utility Pole Slider,2.0
275,5.0,Miami,Finals (Regional/City),Balance Bridge,3.0
276,5.0,Miami,Finals (Regional/City),Slider Jump,4.0
277,5.0,Miami,Finals (Regional/City),Monkey Pegs,5.0
278,5.0,Miami,Finals (Regional/City),Warped Wall,6.0
279,5.0,Miami,Finals (Regional/City),Salmon Ladder,7.0
280,5.0,Miami,Finals (Regional/City),Ledge Jump,8.0
281,5.0,Miami,Finals (Regional/City),Rolling Steel,9.0
282,5.0,Miami,Finals (Regional/City),Spider Climb,10.0
283,5.0,Denver,Qualifying (Regional/City),Quintuple Steps,1.0
284,5.0,Denver,Qualifying (Regional/City),Rolling Log,2.0
285,5.0,Denver,Qualifying (Regional/City),Rotating Bridge,3.0
286,5.0,Denver,Qualifying (Regional/City),Jump Hang Kai,4.0
287,5.0,Denver,Qualifying (Regional/City),Grip Hang,5.0
288,5.0,Denver,Qualifying (Regional/City),Warped Wall,6.0
289,5.0,Denver,Finals (Regional/City),Quintuple Steps,1.0
290,5.0,Denver,Finals (Regional/City),Rolling Log,2.0
291,5.0,Denver,Finals (Regional/City),Rotating Bridge,3.0
292,5.0,Denver,Finals (Regional/City),Jump Hang Kai,4.0
293,5.0,Denver,Finals (Regional/City),Grip Hang,5.0
294,5.0,Denver,Finals (Regional/City),Warped Wall,6.0
295,5.0,Denver,Finals (Regional/City),Salmon Ladder,7.0
296,5.0,Denver,Finals (Regional/City),Floating Stairs,8.0
297,5.0,Denver,Finals (Regional/City),Pole Grasper,9.0
298,5.0,Denver,Finals (Regional/City),Spider Climb,10.0
299,5.0,Las Vegas,National Finals - Stage 1,Timbers,1.0
300,5.0,Las Vegas,National Finals - Stage 1,Giant Ring,2.0
301,5.0,Las Vegas,National Finals - Stage 1,Rope Glider,3.0
302,5.0,Las Vegas,National Finals - Stage 1,Jumping Spider,4.0
303,5.0,Las Vegas,National Finals - Stage 1,Half-Pipe Attack,5.0
304,5.0,Las Vegas,National Finals - Stage 1,Warped Wall,6.0
305,5.0,Las Vegas,National Finals - Stage 1,Spinning Bridge,7.0
306,5.0,Las Vegas,National Finals - Stage 1,Tarzan Rope,8.0
307,5.0,Las Vegas,National Finals - Stage 1,Rope Ladder,9.0
308,5.0,Las Vegas,National Finals - Stage 2,Hang Slider,1.0
309,5.0,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2.0
310,5.0,Las Vegas,National Finals - Stage 2,Unstable Bridge,3.0
311,5.0,Las Vegas,National Finals - Stage 2,Balance Tank,4.0
312,5.0,Las Vegas,National Finals - Stage 2,Metal Spin,5.0
313,5.0,Las Vegas,National Finals - Stage 2,Wall Lift,6.0
314,5.0,Las Vegas,National Finals - Stage 3,Roulette Cylinder,1.0
315,5.0,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2.0
316,5.0,Las Vegas,National Finals - Stage 3,Floating Boards,3.0
317,5.0,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4.0
318,5.0,Las Vegas,National Finals - Stage 3,Bungee Rope Climb,5.0
319,5.0,Las Vegas,National Finals - Stage 3,Hang Climb,6.0
320,5.0,Las Vegas,National Finals - Stage 3,Spider Flip,7.0
321,5.0,Las Vegas,National Finals - Stage 3,Flying Bar,8.0
322,5.0,Las Vegas,National Finals - Stage 4,Rope Climb,1.0
323,6.0,Venice,Qualifying (Regional/City),Quintuple Steps,1.0
324,6.0,Venice,Qualifying (Regional/City),Spinning Wheel,2.0
325,6.0,Venice,Qualifying (Regional/City),Slack Ladder,3.0
326,6.0,Venice,Qualifying (Regional/City),Jumping Bars into Cargo Net,4.0
327,6.0,Venice,Qualifying (Regional/City),Monkey Pegs,5.0
328,6.0,Venice,Qualifying (Regional/City),Warped Wall,6.0
329,6.0,Venice,Finals (Regional/City),Quintuple Steps,1.0
330,6.0,Venice,Finals (Regional/City),Spinning Wheel,2.0
331,6.0,Venice,Finals (Regional/City),Slack Ladder,3.0
332,6.0,Venice,Finals (Regional/City),Jumping Bars into Cargo Net,4.0
333,6.0,Venice,Finals (Regional/City),Monkey Pegs,5.0
334,6.0,Venice,Finals (Regional/City),Warped Wall,6.0
335,6.0,Venice,Finals (Regional/City),Salmon Ladder,7.0
336,6.0,Venice,Finals (Regional/City),Cannonball Alley,8.0
337,6.0,Venice,Finals (Regional/City),Body Prop,9.0
338,6.0,Venice,Finals (Regional/City),Spider Climb,10.0
339,6.0,Dallas,Qualifying (Regional/City),Quintuple Steps,1.0
340,6.0,Dallas,Qualifying (Regional/City),Log Grip,2.0
341,6.0,Dallas,Qualifying (Regional/City),Tilting Table,3.0
342,6.0,Dallas,Qualifying (Regional/City),Swing Jump,4.0
343,6.0,Dallas,Qualifying (Regional/City),Ring Toss,5.0
344,6.0,Dallas,Qualifying (Regional/City),Warped Wall,6.0
345,6.0,Dallas,Finals (Regional/City),Quintuple Steps,1.0
346,6.0,Dallas,Finals (Regional/City),Log Grip,2.0
347,6.0,Dallas,Finals (Regional/City),Tilting Table,3.0
348,6.0,Dallas,Finals (Regional/City),Swing Jump,4.0
349,6.0,Dallas,Finals (Regional/City),Ring Toss,5.0
350,6.0,Dallas,Finals (Regional/City),Warped Wall,6.0
351,6.0,Dallas,Finals (Regional/City),Salmon Ladder,7.0
352,6.0,Dallas,Finals (Regional/City),Swinging Frames,8.0
353,6.0,Dallas,Finals (Regional/City),Pole Grasper,9.0
354,6.0,Dallas,Finals (Regional/City),Spider Climb,10.0
355,6.0,St. Louis,Qualifying (Regional/City),Quintuple Steps,1.0
356,6.0,St. Louis,Qualifying (Regional/City),Rolling Log,2.0
357,6.0,St. Louis,Qualifying (Regional/City),Bridge of Blades,3.0
358,6.0,St. Louis,Qualifying (Regional/City),Rope Swing Into Cargo Net,4.0
359,6.0,St. Louis,Qualifying (Regional/City),Double Tilt Ladder,5.0
360,6.0,St. Louis,Qualifying (Regional/City),Warped Wall,6.0
361,6.0,St. Louis,Finals (Regional/City),Quintuple Steps,1.0
362,6.0,St. Louis,Finals (Regional/City),Rolling Log,2.0
363,6.0,St. Louis,Finals (Regional/City),Bridge of Blades,3.0
364,6.0,St. Louis,Finals (Regional/City),Rope Swing Into Cargo Net,4.0
365,6.0,St. Louis,Finals (Regional/City),Double Tilt Ladder,5.0
366,6.0,St. Louis,Finals (Regional/City),Warped Wall,6.0
367,6.0,St. Louis,Finals (Regional/City),Salmon Ladder,7.0
368,6.0,St. Louis,Finals (Regional/City),Rumbling Dice,8.0
369,6.0,St. Louis,Finals (Regional/City),Crazy Cliffhanger,9.0
370,6.0,St. Louis,Finals (Regional/City),Spider Climb,10.0
371,6.0,Miami,Qualifying (Regional/City),Quintuple Steps,1.0
372,6.0,Miami,Qualifying (Regional/City),Downhill Pipe Drop,2.0
373,6.0,Miami,Qualifying (Regional/City),Dancing Stones,3.0
374,6.0,Miami,Qualifying (Regional/City),Jump Hang,4.0
375,6.0,Miami,Qualifying (Regional/City),Curtain Slider,5.0
376,6.0,Miami,Qualifying (Regional/City),Warped Wall,6.0
377,6.0,Miami,Finals (Regional/City),Quintuple Steps,1.0
378,6.0,Miami,Finals (Regional/City),Downhill Pipe Drop,2.0
379,6.0,Miami,Finals (Regional/City),Dancing Stones,3.0
380,6.0,Miami,Finals (Regional/City),Jump Hang,4.0
381,6.0,Miami,Finals (Regional/City),Curtain Slider,5.0
382,6.0,Miami,Finals (Regional/City),Warped Wall,6.0
383,6.0,Miami,Finals (Regional/City),Salmon Ladder,7.0
384,6.0,Miami,Finals (Regional/City),Minefield,8.0
385,6.0,Miami,Finals (Regional/City),Floating Stairs,9.0
386,6.0,Miami,Finals (Regional/City),Spider Climb,10.0
387,6.0,Denver,Qualifying (Regional/City),Quintuple Steps,1.0
388,6.0,Denver,Qualifying (Regional/City),Cat Grab,2.0
389,6.0,Denver,Qualifying (Regional/City),Spinning Log,3.0
390,6.0,Denver,Qualifying (Regional/City),Spikes Into Cargo Net,4.0
391,6.0,Denver,Qualifying (Regional/City),Devil Steps,5.0
392,6.0,Denver,Qualifying (Regional/City),Warped Wall,6.0
393,6.0,Denver,Finals (Regional/City),Quintuple Steps,1.0
394,6.0,Denver,Finals (Regional/City),Cat Grab,2.0
395,6.0,Denver,Finals (Regional/City),Spinning Log,3.0
396,6.0,Denver,Finals (Regional/City),Spikes Into Cargo Net,4.0
397,6.0,Denver,Finals (Regional/City),Devil Steps,5.0
398,6.0,Denver,Finals (Regional/City),Warped Wall,6.0
