Timestamp,How old are you?,Industry,Job title,Additional context on job title,Annual salary,Other monetary comp,Currency,Currency - other,Additional context on income,Country,State,City,Overall years of professional experience,Years of experience in field,Highest level of education completed,Gender,Race
4/27/2021 11:04,25-34,Government and Public Administration,Program Officer,,"115,000",,USD,,,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:04,25-34,Business or Consulting,Account Supervisor,Program Manager for Government contractor,"100,500",3000,USD,,,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:04,25-34,Law,Legal Secretary,,"33,200",0,USD,,,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:04,35-44,Government and Public Administration,Policy Lead,Middle manager policy role in public sector. ,"52,000",0,GBP,,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,25-34,Education (Higher Education),Coordinator,,"52,000",,USD,,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04,25-34,Government and Public Administration,Senior Advisor,,"79,000",,CAD,,,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04,65 or over,Property or Construction,Safety Director,,"104,000",25000,USD,,Extra money comes from overtime,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
4/27/2021 11:04,25-34,Education (Primary/Secondary),Secondary School Educator,,"75,000",,CAD,,,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
4/27/2021 11:04,18-24,Biotechnology,Downstream Process Development Research Associate I,,"52,000",,USD,,,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04,25-34,Education (Higher Education),Research Programmer,Software engineering without the job title,"70,000",0,USD,,"Technically 37.5 hours, but ends up being pretty similar",USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
4/27/2021 11:04,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",This is NOT a non-profit development/fundraising role.,"84,000",8400,USD,,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04,35-44,Health care,AR Manager,,"53,000",0,USD,,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,25-34,Computing or Tech,Technical specialist,,"34,000",2000,USD,,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:04,25-34,Nonprofits,Programming Coordinator,,"38,000",,USD,,,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:04,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,"87,000",0,USD,,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
4/27/2021 11:04,35-44,Aerospace contracting,Project engineer ,Cost/schedule analyst,"122,000",3600,USD,,,United States,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,25-34,Insurance,Pricing Analyst,,"45,000",2000,GBP,,,UK,,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:04,25-34,Engineering or Manufacturing,Marketing Coordinator,,"45,000",,USD,,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
4/27/2021 11:04,35-44,Computing or Tech,Tech Writer,,"88,000",,USD,,,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:04,35-44,Nonprofits,Supervisory Archivist,at a historical society,"71,000",0,USD,,,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:04,45-54,Education (Higher Education),Program Manager,,"71,000",,USD,,,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:04,35-44,Education (Primary/Secondary),High School Teacher at an independent school,,"75,000",0,USD,,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,35-44,Education (Higher Education),Manager of Market Research and Data,"My group is responsible for data gathering, analysis and reporting to state and federal stakeholders as well as strategic initiatives and grant applications. We also manage the organization's CRM system.","80,000",0,USD,,,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,35-44,Computing or Tech,Senior Business Analyst,,"125,000",,USD,,,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:04,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,"65,000",,USD,,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04,45-54,Education (Primary/Secondary),Teacher ,,"36,000",,GBP,,,Scotland ,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:04,25-34,Nonprofits,Graphic Designer / Webmaster,,"55,000",,USD,,,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04,25-34,Art & Design,Senior UX Designer,,"90,000",1000,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04,35-44,Engineering or Manufacturing,Senior Engineer ,,"105,000",13000,USD,,,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,35-44,Nonprofits,Office Administrator,,"60,000",0,CAD,,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
4/27/2021 11:05,35-44,Education (Higher Education),Digital Archivist,,"65,000",0,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,"85,000",8500,USD,,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Sales,CSR,,"39,520",,USD,,,United States ,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:05,45-54,Computing or Tech,Director of Engineering,,"115,000",,CAD,,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
4/27/2021 11:05,25-34,Energy,Fuel Efficiency Program Analyst,,"76,000",0,USD,,,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,55-64,Business or Consulting,Senior Vice President of Marketing,,"180,000",60000,USD,,,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,"Accounting, Banking & Finance",Accounting Manager,,"90,000",0,USD,,,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Government and Public Administration,Technical Assistant,Data Entry and Processing for local government,"19,300",0,GBP,,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
4/27/2021 11:05,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,,"65,000",5000,USD,,,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05,45-54,Computing or Tech,senior web application developer,,"98,166",0,USD,,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
4/27/2021 11:05,25-34,Education (Primary/Secondary),Director of Development,,"63,500",,USD,,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:05,55-64,Environmental regulation,Quality Assurance Lead,,58,,USD,,,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Nonprofits,Program & Administrative Assistant,,"47,700",2000,USD,,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05,55-64,Computing or Tech,Chief Engineer,,"87,000",8000,USD,,,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
4/27/2021 11:05,35-44,Media & Digital,Production Co-ordinator,Ecomm Studio,"48,000",,CAD,,,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05,25-34,Education (Higher Education),Administrative Support Assistant,,"39,635",305,USD,,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
4/27/2021 11:05,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,"53,000",,USD,,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
4/27/2021 11:05,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,"47,255",0,USD,,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
4/27/2021 11:05,35-44,Property or Construction,Senior Project Manager,,"196,000",10000,USD,,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
4/27/2021 11:05,45-54,Health care,Customer Service Representative,Pharma call center,"34,361",0,USD,,,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:05,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)","150,000",20000,USD,,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05,25-34,Hospitality & Events,Graphic Designer,Solo in-house graphic designer & illustrator,"75,000",0,USD,,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,35-44,Education (Higher Education),Graduate Student,,"20,000",,USD,,Doesn't include tuition remission,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05,25-34,Computing or Tech,Senior Financial Analyst,,"107,220",16083,USD,,,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
4/27/2021 11:05,35-44,Government and Public Administration,Case Manager,Worker's Comp,"78,000",,CAD,,,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
4/27/2021 11:05,45-54,Education (Higher Education),Professor,,"95,000",10000,USD,,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
4/27/2021 11:05,45-54,Sales,Office Manager,,"42,000",,USD,,,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,"Accounting, Banking & Finance",Finance Manager,Ad Sales,"100,000",5000,USD,,,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Computing or Tech,Software engineer,,"50,000",,GBP,,,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,White
4/27/2021 11:05,35-44,Education (Higher Education),Medical Education Director,,"119,000",2500,USD,,,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05,45-54,"Accounting, Banking & Finance",Finance acountant,,"66,000",5000,GBP,,,UK,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:05,35-44,Transport or Logistics,Program manager,,"60,000",3000,EUR,,,The Netherlands,,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:05,25-34,Education (Higher Education),Associate Director of Donor Relations,,"75,000",,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05,35-44,Education (Higher Education),Assistant Professor of Law,,"145,000",15000,USD,,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:05,25-34,"Accounting, Banking & Finance",investment advisor,,"95,000",10000,CAD,,,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05,25-34,"Marketing, Advertising & PR",Content Writer,,"48,000",2000,USD,,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,,"75,000",10000,USD,,,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05,35-44,Media & Digital,Digital Marketing Specialist,,"42,000",0,USD,,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05,35-44,Nonprofits,Archivist,,"54,000",100,USD,,,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05,35-44,Education (Higher Education),Assistant Professor,,"92,000",,CAD,,,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:05,45-54,Government and Public Administration,Head of Public Sector Data Sharing ,,"50,870",0,GBP,,,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05,55-64,Medical Devices,QC Supervisor,,"60,000",500,USD,,,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
4/27/2021 11:05,55-64,Nonprofits,Content Development Manager,,"101,500",0,USD,,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05,25-34,Academic research (Psychology),Clinical Research Assistant II,,"36,883",150,USD,,,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05,25-34,Media & Digital,news editor,,"85,000",0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05,25-34,Education (Higher Education),Senior Administrative Assistant ,,"62,000",0,USD,,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,35-44,Computing or Tech,Product Manager,,"130,000",0,USD,,,United States,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
4/27/2021 11:05,55-64,Education (Higher Education),career services professional,,"55,000",,USD,,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,Government and Public Administration,Project Coordinator,,"59,015",,USD,,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05,25-34,Business or Consulting,"Associate Manager, Education",Beauty industry education for sales teams,"71,000",3000,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,45-54,Social Work,Director,,"53,000",,USD,,,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05,25-34,public library,Senior Librarian,,"63,000",0,USD,,,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05,35-44,Engineering or Manufacturing,Project Estimator,,"95,000",5000,USD,,"Bonus average was used; it varied depending on profitability.  Also, have 4 weeks PTO.",United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05,35-44,Surveying ,Accounts manager ,,"85,000",0,AUD/NZD,,,Australia ,,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:05,35-44,Nonprofits,Customer Advocate,Customer support,"35,000",3000,USD,,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
4/27/2021 11:05,18-24,Hospitality & Events,Customer Service Specialist,"I don't want to get too specific, but I specialize in a certain part of our customer service team that's a little more technical.","33,280",500,USD,,,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
4/27/2021 11:05,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,,"56,000",2500,USD,,,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
4/27/2021 11:05,35-44,Education (Higher Education),Associate Director,,"85,000",,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05,35-44,Education (Higher Education),Editor,,"62,000",0,USD,,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05,25-34,Law,Staff Attorney,"Roughly equivalent to an Associate Attorney, but not on the partnership track.","74,000",,USD,,,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
4/27/2021 11:05,25-34,Nonprofits,Program Associate,,"63,000",1000,USD,,,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05,25-34,Recruitment or HR,Senior People Advisor,Roughly - mid-level HR manager,"45,000",10000,GBP,,,United Kingdom,,London,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05,25-34,Education (Higher Education),English as a Second Language Teacher,,"18,000",0,EUR,,,Spain,,N/A,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05,35-44,Nonprofits,Online Sales Support Manager,,"86,000",6000,USD,,,United States,,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05,18-24,PhD,PhD Candidate,,"19,000",0,GBP,,tax-free stipend,UK,,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
4/27/2021 11:05,35-44,Education (Higher Education),Research Technologist,,"42,000",,USD,,,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
