id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
12,War of the Ring (Second Edition),2.0,4.0,180.0,2012.0,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management","Adventure, Dice, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",https://boardgamegeek.com/boardgame/115746/war-ring-second-edition
13,Caverna: The Cave Farmers,1.0,7.0,210.0,2013.0,"Tile Placement, Worker Placement","Animals, Economic, Fantasy, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers
14,Puerto Rico,2.0,5.0,150.0,2002.0,Variable Phase Order,"City Building, Economic, Farming",Andreas Seyfarth,https://boardgamegeek.com/boardgame/3076/puerto-rico
15,Agricola,1.0,5.0,150.0,2007.0,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement","Animals, Economic, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/31260/agricola
16,Mage Knight Board Game,1.0,4.0,150.0,2011.0,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game
17,Blood Rage,2.0,4.0,90.0,2015.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection","Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang,https://boardgamegeek.com/boardgame/170216/blood-rage
18,Arkham Horror: The Card Game,1.0,2.0,120.0,2016.0,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman",https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game
19,Mansions of Madness: Second Edition,1.0,5.0,180.0,2016.0,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition
20,Through the Ages: A Story of Civilization,2.0,4.0,240.0,2006.0,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management","Civilization, Economic",Vlaada Chvátil,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization
21,Mechs vs. Minions,2.0,4.0,90.0,2016.0,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers","Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras",https://boardgamegeek.com/boardgame/209010/mechs-vs-minions
22,Viticulture Essential Edition,1.0,6.0,90.0,2015.0,"Hand Management, Variable Phase Order, Worker Placement","Economic, Farming","Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone",https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition
23,Star Wars: Imperial Assault,2.0,5.0,120.0,2014.0,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying",https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault
24,Concordia,2.0,5.0,100.0,2013.0,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement","Ancient, Economic, Nautical",Mac Gerdts,https://boardgamegeek.com/boardgame/124361/concordia
25,Orléans,2.0,4.0,90.0,2014.0,"Deck / Pool Building, Point to Point Movement, Worker Placement","Medieval, Religious, Travel",Reiner Stockhausen,https://boardgamegeek.com/boardgame/164928/orleans
26,Power Grid,2.0,6.0,120.0,2004.0,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",Friedemann Friese,https://boardgamegeek.com/boardgame/2651/power-grid
27,Eclipse,2.0,6.0,200.0,2011.0,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers","Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,https://boardgamegeek.com/boardgame/72125/eclipse
28,Food Chain Magnate,2.0,5.0,240.0,2015.0,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection","Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga",https://boardgamegeek.com/boardgame/175914/food-chain-magnate
29,A Feast for Odin,1.0,4.0,120.0,2016.0,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement","Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg,https://boardgamegeek.com/boardgame/177736/feast-odin
30,Robinson Crusoe: Adventures on the Cursed Island,1.0,4.0,120.0,2012.0,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement","Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island
31,Brass: Lancashire,2.0,4.0,180.0,2007.0,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation",Martin Wallace,https://boardgamegeek.com/boardgame/28720/brass-lancashire
32,Tzolk'in: The Mayan Calendar,2.0,4.0,90.0,2012.0,"Set Collection, Worker Placement","Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar
33,Le Havre,1.0,5.0,150.0,2008.0,Worker Placement,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,https://boardgamegeek.com/boardgame/35677/le-havre
34,Android: Netrunner,2.0,2.0,45.0,2012.0,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers","Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",https://boardgamegeek.com/boardgame/124742/android-netrunner
35,Kingdom Death: Monster,1.0,6.0,180.0,2015.0,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling","Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",Adam Poots,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster
36,The Voyages of Marco Polo,2.0,4.0,100.0,2015.0,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement","Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",https://boardgamegeek.com/boardgame/171623/voyages-marco-polo
37,The 7th Continent,1.0,4.0,1000.0,2017.0,"Co-operative Play, Hand Management, Modular Board, Storytelling","Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter",https://boardgamegeek.com/boardgame/180263/7th-continent
38,Codenames,2.0,8.0,15.0,2015.0,"Memory, Partnerships, Pattern Recognition, Press Your Luck","Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,https://boardgamegeek.com/boardgame/178900/codenames
39,Keyflower,2.0,6.0,120.0,2012.0,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",https://boardgamegeek.com/boardgame/122515/keyflower
40,7 Wonders,2.0,7.0,30.0,2010.0,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization",Antoine Bauza,https://boardgamegeek.com/boardgame/68448/7-wonders
41,T.I.M.E Stories,2.0,4.0,240.0,2015.0,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers","Adventure, Mature / Adult, Science Fiction","Peggy Chassenet, Manuel Rozoy",https://boardgamegeek.com/boardgame/146508/time-stories
42,Caylus,2.0,5.0,150.0,2005.0,Worker Placement,"City Building, Economic, Medieval",William Attia,https://boardgamegeek.com/boardgame/18602/caylus
43,Eldritch Horror,1.0,8.0,240.0,2013.0,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",https://boardgamegeek.com/boardgame/146021/eldritch-horror
44,Twilight Imperium (Third Edition),3.0,6.0,240.0,2005.0,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition
45,Race for the Galaxy,2.0,4.0,60.0,2007.0,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,https://boardgamegeek.com/boardgame/28143/race-galaxy
46,Lords of Waterdeep,2.0,5.0,120.0,2012.0,"Set Collection, Take That, Worker Placement","City Building, Fantasy","Peter Lee, Rodney Thompson",https://boardgamegeek.com/boardgame/110327/lords-waterdeep
47,Dominant Species,2.0,6.0,240.0,2010.0,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement","Animals, Environmental, Prehistoric",Chad Jensen,https://boardgamegeek.com/boardgame/62219/dominant-species
48,Five Tribes,2.0,4.0,80.0,2014.0,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order","Arabian, Fantasy, Mythology",Bruno Cathala,https://boardgamegeek.com/boardgame/157354/five-tribes
49,El Grande,2.0,5.0,120.0,1995.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Renaissance,"Wolfgang Kramer, Richard Ulrich",https://boardgamegeek.com/boardgame/93/el-grande
50,Patchwork,2.0,2.0,30.0,2014.0,"Tile Placement, Time Track","Abstract Strategy, Puzzle",Uwe Rosenberg,https://boardgamegeek.com/boardgame/163412/patchwork
51,Roll for the Galaxy,2.0,5.0,45.0,2014.0,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",https://boardgamegeek.com/boardgame/132531/roll-galaxy
52,Fields of Arle,1.0,2.0,120.0,2014.0,Worker Placement,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg,https://boardgamegeek.com/boardgame/159675/fields-arle
53,Dominion: Intrigue,2.0,4.0,30.0,2009.0,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Donald X. Vaccarino,https://boardgamegeek.com/boardgame/40834/dominion-intrigue
54,Clank!: A Deck-Building Adventure,1.0,4.0,60.0,2016.0,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck","Adventure, Fantasy",Paul Dennen,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure
55,Dead of Winter: A Crossroads Game,2.0,5.0,210.0,2014.0,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting","Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega",https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game
56,Star Wars: X-Wing Miniatures Game,2.0,2.0,45.0,2012.0,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game
57,Battlestar Galactica: The Board Game,3.0,6.0,300.0,2008.0,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers","Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game
58,Pandemic Legacy: Season 2,2.0,4.0,60.0,2017.0,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers","Environmental, Exploration, Medical","Rob Daviau, Matt Leacock",https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2
59,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1.0,8.0,120.0,1981.0,"Co-operative Play, Storytelling","Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady",https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder
60,Mombasa,2.0,4.0,150.0,2015.0,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",Economic,Alexander Pfister,https://boardgamegeek.com/boardgame/172386/mombasa
61,Russian Railroads,2.0,4.0,120.0,2013.0,Worker Placement,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler",https://boardgamegeek.com/boardgame/144733/russian-railroads
62,Trajan,2.0,4.0,120.0,2011.0,"Area Movement, Card Drafting, Hand Management, Set Collection","Ancient, Political",Stefan Feld,https://boardgamegeek.com/boardgame/102680/trajan
63,Troyes,2.0,4.0,90.0,2010.0,"Area Control / Area Influence, Dice Rolling, Worker Placement","Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban",https://boardgamegeek.com/boardgame/73439/troyes
64,Dominion,2.0,4.0,30.0,2008.0,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Donald X. Vaccarino,https://boardgamegeek.com/boardgame/36218/dominion
65,Tigris & Euphrates,2.0,4.0,90.0,1997.0,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement","Abstract Strategy, Ancient, Civilization, Territory Building",Reiner Knizia,https://boardgamegeek.com/boardgame/42/tigris-euphrates
66,Pandemic,2.0,4.0,45.0,2008.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Medical,Matt Leacock,https://boardgamegeek.com/boardgame/30549/pandemic
67,Gaia Project,1.0,4.0,150.0,2017.0,"Modular Board, Route/Network Building, Variable Phase Order, Variable Player Powers","Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag",https://boardgamegeek.com/boardgame/220308/gaia-project
68,Santorini,2.0,4.0,20.0,2016.0,"Grid Movement, Tile Placement, Variable Player Powers","Abstract Strategy, Ancient, Mythology",Gord!,https://boardgamegeek.com/boardgame/194655/santorini
69,The Gallerist,1.0,4.0,150.0,2015.0,"Commodity Speculation, Set Collection, Worker Placement",Economic,Vital Lacerda,https://boardgamegeek.com/boardgame/125153/gallerist
70,Crokinole,2.0,4.0,30.0,1876.0,Partnerships,Action / Dexterity,(Uncredited),https://boardgamegeek.com/boardgame/521/crokinole
71,Descent: Journeys in the Dark (Second Edition),2.0,5.0,120.0,2012.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures","Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson",https://boardgamegeek.com/boardgame/104162/descent-journeys-dark-second-edition
72,Kemet,2.0,5.0,120.0,2012.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Variable Phase Order","Ancient, Fighting, Miniatures, Mythology","Jacques Bariot, Guillaume Montiage",https://boardgamegeek.com/boardgame/127023/kemet
73,Castles of Mad King Ludwig,1.0,4.0,90.0,2014.0,"Card Drafting, Pattern Building, Set Collection, Tile Placement",Post-Napoleonic,Ted Alspach,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig
74,War of the Ring (first edition),2.0,4.0,120.0,2004.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management","Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",https://boardgamegeek.com/boardgame/9609/war-ring-first-edition
75,Stone Age,2.0,4.0,90.0,2008.0,"Dice Rolling, Set Collection, Worker Placement","Dice, Prehistoric",Bernd Brunnhofer,https://boardgamegeek.com/boardgame/34635/stone-age
76,Alchemists,2.0,4.0,120.0,2014.0,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement","Deduction, Fantasy",Matú? Kotry,https://boardgamegeek.com/boardgame/161970/alchemists
77,Clans of Caledonia,1.0,4.0,120.0,2017.0,"Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers",Economic,Juma Al-JouJou,https://boardgamegeek.com/boardgame/216132/clans-caledonia
78,The Resistance: Avalon,5.0,10.0,30.0,2012.0,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting","Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents",Don Eskridge,https://boardgamegeek.com/boardgame/128882/resistance-avalon
79,A Game of Thrones: The Board Game (Second Edition),3.0,6.0,240.0,2011.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",Christian T. Petersen,https://boardgamegeek.com/boardgame/103343/game-thrones-board-game-second-edition
80,Forbidden Stars,2.0,4.0,180.0,2015.0,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers","Bluffing, Fighting, Miniatures, Science Fiction, Wargame","Samuel Bailey, James Kniffen, Corey Konieczka",https://boardgamegeek.com/boardgame/175155/forbidden-stars
81,Arcadia Quest,2.0,4.0,60.0,2014.0,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Adventure, Fantasy, Fighting, Miniatures","Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret",https://boardgamegeek.com/boardgame/155068/arcadia-quest
82,Legendary Encounters: An Alien Deck Building Game,1.0,5.0,45.0,2014.0,"Card Drafting, Co-operative Play, Deck / Pool Building, Partnerships, Player Elimination, Variable Player Powers","Card Game, Fighting, Horror, Movies / TV / Radio theme, Science Fiction","Ben Cichoski, Daniel Mandel",https://boardgamegeek.com/boardgame/146652/legendary-encounters-alien-deck-building-game
83,Star Realms,2.0,2.0,20.0,2014.0,"Card Drafting, Deck / Pool Building, Hand Management, Take That","Card Game, Fighting, Science Fiction","Robert Dougherty, Darwin Kastle",https://boardgamegeek.com/boardgame/147020/star-realms
84,Ora et Labora,1.0,4.0,180.0,2011.0,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",Uwe Rosenberg,https://boardgamegeek.com/boardgame/70149/ora-et-labora
85,Suburbia,1.0,4.0,90.0,2012.0,"Card Drafting, Set Collection, Tile Placement","City Building, Economic",Ted Alspach,https://boardgamegeek.com/boardgame/123260/suburbia
86,Nations,1.0,5.0,200.0,2013.0,"Card Drafting, Variable Player Powers","Card Game, Civilization, Economic","Rustan Håkansson, Nina Håkansson, Einar Rosén, Robert Rosén",https://boardgamegeek.com/boardgame/126042/nations
87,Ticket to Ride: Europe,2.0,5.0,60.0,2005.0,"Card Drafting, Hand Management, Route/Network Building, Set Collection","Trains, Travel",Alan R. Moon,https://boardgamegeek.com/boardgame/14996/ticket-ride-europe
88,Chaos in the Old World,3.0,4.0,120.0,2009.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers","Fantasy, Fighting, Horror, Mythology, Wargame",Eric M. Lang,https://boardgamegeek.com/boardgame/43111/chaos-old-world
89,Commands & Colors: Ancients,2.0,2.0,60.0,2006.0,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board","Ancient, Wargame",Richard Borg,https://boardgamegeek.com/boardgame/14105/commands-colors-ancients
90,Istanbul,2.0,5.0,60.0,2014.0,"Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver",Economic,Rüdiger Dorn,https://boardgamegeek.com/boardgame/148949/istanbul
91,Railways of the World,2.0,6.0,120.0,2005.0,"Action Point Allowance System, Auction/Bidding, Card Drafting, Pick-up and Deliver, Route/Network Building, Tile Placement","Trains, Transportation, Video Game Theme","Glenn Drover, Martin Wallace",https://boardgamegeek.com/boardgame/17133/railways-world
92,Paths of Glory,2.0,2.0,480.0,1999.0,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Wargame, World War I",Ted Raicer,https://boardgamegeek.com/boardgame/91/paths-glory
93,Anachrony,1.0,4.0,120.0,2017.0,"Action Point Allowance System, Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement","Economic, Science Fiction","Richard Amann, Viktor Peter, Dávid Turczi",https://boardgamegeek.com/boardgame/185343/anachrony
94,Captain Sonar,2.0,8.0,60.0,2016.0,"Grid Movement, Line Drawing, Partnerships, Role Playing, Secret Unit Deployment, Simultaneous Action Selection","Deduction, Fighting, Nautical, Real-time","Roberto Fraga, Yohan Lemonnier",https://boardgamegeek.com/boardgame/171131/captain-sonar
95,Pandemic Iberia,2.0,5.0,45.0,2016.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Medical,"Jesús Torres Castro, Matt Leacock",https://boardgamegeek.com/boardgame/198928/pandemic-iberia
96,Cosmic Encounter,3.0,5.0,120.0,2008.0,"Hand Management, Partnerships, Take That, Variable Player Powers","Bluffing, Negotiation, Science Fiction, Space Exploration","Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka, Kevin Wilson",https://boardgamegeek.com/boardgame/39463/cosmic-encounter
97,Combat Commander: Europe,2.0,2.0,180.0,2006.0,"Campaign / Battle Card Driven, Hex-and-Counter, Simulation, Variable Phase Order","Wargame, World War II",Chad Jensen,https://boardgamegeek.com/boardgame/21050/combat-commander-europe
98,Goa,2.0,4.0,90.0,2004.0,"Auction/Bidding, Hand Management, Press Your Luck","Economic, Farming, Nautical, Renaissance",Rüdiger Dorn,https://boardgamegeek.com/boardgame/9216/goa
99,The Lord of the Rings: The Card Game,1.0,2.0,60.0,2011.0,"Co-operative Play, Hand Management, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Novel-based",Nate French,https://boardgamegeek.com/boardgame/77423/lord-rings-card-game
100,Jaipur,2.0,2.0,30.0,2009.0,"Card Drafting, Hand Management, Set Collection","Animals, Card Game",Sébastien Pauchon,https://boardgamegeek.com/boardgame/54043/jaipur
101,La Granja,1.0,4.0,120.0,2014.0,"Area Control / Area Influence, Dice Rolling, Hand Management, Simultaneous Action Selection, Variable Player Powers, Worker Placement","Economic, Farming","Michael Keller (II), Andreas ""ode."" Odendahl",https://boardgamegeek.com/boardgame/146886/la-granja
102,Hansa Teutonica,2.0,5.0,90.0,2009.0,"Action Point Allowance System, Area Control / Area Influence, Point to Point Movement, Route/Network Building",Renaissance,Andreas Steding,https://boardgamegeek.com/boardgame/43015/hansa-teutonica
103,Steam,3.0,5.0,90.0,2009.0,"Auction/Bidding, Pick-up and Deliver, Route/Network Building, Tile Placement","Economic, Trains, Transportation",Martin Wallace,https://boardgamegeek.com/boardgame/27833/steam
104,Zombicide: Black Plague,1.0,6.0,180.0,2015.0,"Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures, Zombies","Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult",https://boardgamegeek.com/boardgame/176189/zombicide-black-plague
105,Age of Steam,1.0,6.0,120.0,2002.0,"Auction/Bidding, Dice Rolling, Player Elimination, Route/Network Building, Tile Placement","Economic, Trains, Transportation",Martin Wallace,https://boardgamegeek.com/boardgame/4098/age-steam
106,Azul,2.0,4.0,45.0,2017.0,"Pattern Building, Set Collection, Tile Placement",Abstract Strategy,Michael Kiesling,https://boardgamegeek.com/boardgame/230802/azul
107,Village,2.0,4.0,90.0,2011.0,"Set Collection, Worker Placement","Farming, Medieval","Inka Brand, Markus Brand",https://boardgamegeek.com/boardgame/104006/village
108,Splendor,2.0,4.0,30.0,2014.0,"Card Drafting, Set Collection","Card Game, Economic, Renaissance",Marc André,https://boardgamegeek.com/boardgame/148228/splendor
109,The Princes of Florence,2.0,5.0,100.0,2000.0,"Auction/Bidding, Tile Placement","City Building, Renaissance","Wolfgang Kramer, Richard Ulrich, Jens Christopher Ulrich",https://boardgamegeek.com/boardgame/555/princes-florence
