id,Year,Category,Nominee
448,1991.0,Music (Original Song),"""Beauty And The Beast"" from Beauty and the Beast"
449,1991.0,Best Picture,The Silence of the Lambs
450,1991.0,Short Film (Animated),Manipulation
451,1991.0,Short Film (Live Action),Session Man
452,1991.0,Sound,Terminator 2: Judgment Day
453,1991.0,Sound Effects Editing,Terminator 2: Judgment Day
454,1991.0,Visual Effects,Terminator 2: Judgment Day
455,1991.0,Writing (Screenplay Based on Material Previously Produced or Published),The Silence of the Lambs
456,1991.0,Writing (Screenplay Written Directly for the Screen),Thelma & Louise
457,1991.0,Honorary Award,Satyajit Ray
458,1991.0,Irving G. Thalberg Memorial Award,George Lucas
459,1991.0,Gordon E. Sawyer Award,Ray Harryhausen
460,1991.0,Award of Commendation,"Pete Comandini, Richard T. Dayton, Donald Hagans and Richard T. Ryan of YCM Laboratories"
461,1991.0,Medal of Commendation,Richard J. Stumpf
462,1991.0,Medal of Commendation,Joseph Westheimer
463,1992.0,Actor in a Leading Role,Al Pacino
464,1992.0,Actor in a Supporting Role,Gene Hackman
465,1992.0,Actress in a Leading Role,Emma Thompson
466,1992.0,Actress in a Supporting Role,Marisa Tomei
467,1992.0,Art Direction,Howards End
468,1992.0,Cinematography,A River Runs through It
469,1992.0,Costume Design,Bram Stoker's Dracula
470,1992.0,Directing,Unforgiven
471,1992.0,Documentary (Feature),The Panama Deception
472,1992.0,Documentary (Short Subject),Educating Peter
473,1992.0,Film Editing,Unforgiven
474,1992.0,Foreign Language Film,Indochine
475,1992.0,Makeup,Bram Stoker's Dracula
476,1992.0,Music (Original Score),Aladdin
477,1992.0,Music (Original Song),"""A Whole New World"" from Aladdin"
478,1992.0,Best Picture,Unforgiven
479,1992.0,Short Film (Animated),Mona Lisa Descending a Staircase
480,1992.0,Short Film (Live Action),Omnibus
481,1992.0,Sound,The Last of the Mohicans
482,1992.0,Sound Effects Editing,Bram Stoker's Dracula
483,1992.0,Visual Effects,Death Becomes Her
484,1992.0,Writing (Screenplay Based on Material Previously Produced or Published),Howards End
485,1992.0,Writing (Screenplay Written Directly for the Screen),The Crying Game
486,1992.0,Jean Hersholt Humanitarian Award,Audrey Hepburn
487,1992.0,Jean Hersholt Humanitarian Award,Elizabeth Taylor
488,1992.0,Honorary Award,Federico Fellini
489,1992.0,Gordon E. Sawyer Award,Erich Kaestner
490,1992.0,Award of Commendation,The International Alliance of Theatrical Stage Employees
491,1992.0,Medal of Commendation,Petro Vlahos
492,1993.0,Actor in a Leading Role,Tom Hanks
493,1993.0,Actor in a Supporting Role,Tommy Lee Jones
494,1993.0,Actress in a Leading Role,Holly Hunter
495,1993.0,Actress in a Supporting Role,Anna Paquin
496,1993.0,Art Direction,Schindler's List
497,1993.0,Cinematography,Schindler's List
498,1993.0,Costume Design,The Age of Innocence
499,1993.0,Directing,Schindler's List
500,1993.0,Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School
501,1993.0,Documentary (Short Subject),Defending Our Lives
502,1993.0,Film Editing,Schindler's List
503,1993.0,Foreign Language Film,Belle Epoque
504,1993.0,Makeup,Mrs. Doubtfire
505,1993.0,Music (Original Score),Schindler's List
506,1993.0,Music (Original Song),"""Streets Of Philadelphia"" from Philadelphia"
507,1993.0,Best Picture,Schindler's List
508,1993.0,Short Film (Animated),The Wrong Trousers
509,1993.0,Short Film (Live Action),Black Rider (Schwarzfahrer)
510,1993.0,Sound,Jurassic Park
511,1993.0,Sound Effects Editing,Jurassic Park
512,1993.0,Visual Effects,Jurassic Park
513,1993.0,Writing (Screenplay Based on Material Previously Produced or Published),Schindler's List
514,1993.0,Writing (Screenplay Written Directly for the Screen),The Piano
515,1993.0,Jean Hersholt Humanitarian Award,Paul Newman
516,1993.0,Honorary Award,Deborah Kerr
517,1993.0,Gordon E. Sawyer Award,Petro Vlahos
518,1994.0,Actor in a Leading Role,Tom Hanks
519,1994.0,Actor in a Supporting Role,Martin Landau
520,1994.0,Actress in a Leading Role,Jessica Lange
521,1994.0,Actress in a Supporting Role,Dianne Wiest
522,1994.0,Art Direction,The Madness of King George
523,1994.0,Cinematography,Legends of the Fall
524,1994.0,Costume Design,"The Adventures of Priscilla, Queen of the Desert "
525,1994.0,Directing,Forrest Gump
