id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,Picture
11,Armey,Richard,107.0,2001.0,TX,House of Representative,26.0,Republican,1984.0,Male,30.0,Caucasian,8.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/a000217_200.jpg
12,Baca,Joe,107.0,2001.0,CA,House of Representative,42.0,Democrat,1999.0,Male,52.0,Latino/a,25.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/112_rp_ca_43_baca_joe_200.jpg
13,Bachus,Spencer,107.0,2001.0,AL,House of Representative,6.0,Republican,1992.0,Male,7.0,Caucasian,6.0,1.0,2.0,2.0,0.0,https://www.congress.gov/img/member/b000013_200.jpg
14,Baird,Brian,107.0,2001.0,WA,House of Representative,3.0,Democrat,1998.0,Male,9.0,Caucasian,12.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b001229_200.jpg
15,Baker,Richard,107.0,2001.0,LA,House of Representative,6.0,Republican,1986.0,Male,7.0,Caucasian,15.0,4.0,2.0,1.0,1.0,https://www.congress.gov/img/member/b000072_200.jpg
16,Baldacci,John,107.0,2001.0,ME,House of Representative,2.0,Democrat,1994.0,Male,2.0,Caucasian,9.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000081_200.jpg
17,Baldwin,Tammy,107.0,2001.0,WI,House of Representative,2.0,Democrat,1998.0,Female,9.0,Caucasian,13.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b001230_200.jpg
18,Ballenger,Cass,107.0,2001.0,NC,House of Representative,10.0,Republican,1986.0,Male,12.0,Caucasian,9.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000104_200.jpg
19,Barcia,James,107.0,2001.0,MI,House of Representative,5.0,Democrat,1992.0,Male,16.0,Caucasian,10.0,1.0,2.0,2.0,1.0,https://www.congress.gov/img/member/b000134_200.jpg
20,Barkley,Dean,107.0,2001.0,MN,Senate,0.0,Independent,0.0,Male,8.0,Caucasian,1.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b001237_200.jpg
21,Barr,Bob,107.0,2001.0,GA,House of Representative,7.0,Republican,1994.0,Male,11.0,Caucasian,14.0,2.0,2.0,2.0,0.0,https://www.congress.gov/img/member/b000169_200.jpg
22,Barrett,Thomas,107.0,2001.0,WI,House of Representative,5.0,Democrat,1992.0,Male,9.0,Caucasian,8.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000177_200.jpg
23,Bartlett,Roscoe,107.0,2001.0,MD,House of Representative,6.0,Republican,1992.0,Male,8.0,Caucasian,18.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/112_rp_md_6_bartlett_roscoe_200.jpg
24,Barton,Joe,107.0,2001.0,TX,House of Representative,6.0,Republican,1984.0,Male,30.0,Caucasian,10.0,3.0,1.0,0.0,0.0,https://www.congress.gov/img/member/115_rp_tx_6_barton_joe_200.jpg
25,Bass,Charles,107.0,2001.0,NH,House of Representative,2.0,Republican,1994.0,Male,2.0,Caucasian,7.0,4.0,4.0,3.0,1.0,https://www.congress.gov/img/member/112_bass_nh02_200.jpg
26,Baucus,Max,107.0,2001.0,MT,Senate,0.0,Democrat,1978.0,Male,1.0,Caucasian,49.0,5.0,4.0,0.0,0.0,https://www.congress.gov/img/member/111baucus_d_mt_200.jpg
27,Bayh,Evan,107.0,2001.0,IN,Senate,0.0,Democrat,1998.0,Male,10.0,Caucasian,23.0,3.0,3.0,1.0,0.0,https://www.congress.gov/img/member/b001233_200.jpg
28,Becerra,Xavier,107.0,2001.0,CA,House of Representative,30.0,Democrat,1992.0,Male,52.0,Latino/a,16.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/114_rp_ca_34_becerra_xavier_200.jpg
29,Bennett,Robert,107.0,2001.0,UT,Senate,0.0,Republican,1992.0,Male,3.0,Caucasian,9.0,5.0,2.0,1.0,1.0,https://www.congress.gov/img/member/111_sr_ut_bennett_robert_200.jpg
30,Bentsen,Ken,107.0,2001.0,TX,House of Representative,25.0,Democrat,1994.0,Male,30.0,Caucasian,13.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b000400_200.jpg
31,Bereuter,Doug,107.0,2001.0,NE,House of Representative,1.0,Republican,1978.0,Male,3.0,Caucasian,29.0,7.0,6.0,6.0,2.0,https://www.congress.gov/img/member/b000403_200.jpg
32,Berkley,Shelley,107.0,2001.0,NV,House of Representative,1.0,Democrat,1998.0,Female,2.0,Caucasian,6.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b001231_200.jpg
33,Berman,Howard,107.0,2001.0,CA,House of Representative,26.0,Democrat,1982.0,Male,52.0,Caucasian,7.0,0.0,1.0,1.0,0.0,https://www.congress.gov/img/member/b000410_200.jpg
34,Berry,Marion,107.0,2001.0,AR,House of Representative,1.0,Democrat,1996.0,Male,4.0,Caucasian,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000420_200.jpg
35,Biden,Joseph,107.0,2001.0,DE,Senate,0.0,Democrat,1972.0,Male,1.0,Caucasian,32.0,11.0,11.0,5.0,0.0,https://www.congress.gov/img/member/b000444_200.jpg
36,Biggert,Judy,107.0,2001.0,IL,House of Representative,13.0,Republican,1998.0,Female,20.0,Caucasian,16.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b001232_200.jpg
37,Bilirakis,Michael,107.0,2001.0,FL,House of Representative,9.0,Republican,1982.0,Male,23.0,Caucasian,24.0,4.0,5.0,5.0,2.0,https://www.congress.gov/img/member/b000463_200.jpg
38,Bingaman,Jeff,107.0,2001.0,NM,Senate,0.0,Democrat,1982.0,Male,3.0,Caucasian,79.0,21.0,11.0,2.0,2.0,https://www.congress.gov/img/member/b000468_200.jpg
39,Bishop,Sanford,107.0,2001.0,GA,House of Representative,2.0,Democrat,1992.0,Male,11.0,African-American,5.0,1.0,2.0,2.0,2.0,https://www.congress.gov/img/member/b000490_200.jpg
40,Blagojevich,Rod,107.0,2001.0,IL,House of Representative,5.0,Democrat,1996.0,Male,20.0,Caucasian,8.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000518_200.jpg
41,Blumenauer,Earl,107.0,2001.0,OR,House of Representative,3.0,Democrat,1996.0,Male,5.0,Caucasian,9.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b000574_200.jpg
42,Blunt,Roy,107.0,2001.0,MO,House of Representative,7.0,Republican,1996.0,Male,9.0,Caucasian,9.0,3.0,3.0,3.0,2.0,https://www.congress.gov/img/member/b000575_200.jpg
43,Boehlert,Sherwood,107.0,2001.0,NY,House of Representative,23.0,Republican,1982.0,Male,31.0,Caucasian,13.0,7.0,6.0,5.0,2.0,https://www.congress.gov/img/member/b000586_200.jpg
44,Boehner,John,107.0,2001.0,OH,House of Representative,8.0,Republican,1990.0,Male,19.0,Caucasian,8.0,3.0,4.0,4.0,2.0,https://www.congress.gov/img/member/b000589_200.jpg
45,Bond,Christopher,107.0,2001.0,MO,Senate,0.0,Republican,1986.0,Male,9.0,Caucasian,34.0,7.0,7.0,4.0,1.0,https://www.congress.gov/img/member/b000611_200.jpg
46,Bonilla,Henry,107.0,2001.0,TX,House of Representative,23.0,Republican,1992.0,Male,30.0,Latino/a,4.0,2.0,2.0,1.0,1.0,https://www.congress.gov/img/member/b000617_200.jpg
47,Bonior,David,107.0,2001.0,MI,House of Representative,10.0,Democrat,1976.0,Male,16.0,Caucasian,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000619_200.jpg
48,Bono Mack,Mary,107.0,2001.0,CA,House of Representative,44.0,Republican,1998.0,Female,52.0,Caucasian,9.0,2.0,1.0,0.0,0.0,https://www.congress.gov/img/member/b001228_200.jpg
49,Boozman,John,107.0,2001.0,AR,House of Representative,3.0,Republican,2001.0,Male,4.0,Caucasian,2.0,1.0,2.0,2.0,1.0,https://www.congress.gov/img/member/b001236_200.jpg
50,Borski,Robert,107.0,2001.0,PA,House of Representative,3.0,Democrat,1982.0,Male,21.0,Caucasian,7.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b000644_200.jpg
51,Boswell,Leonard,107.0,2001.0,IA,House of Representative,3.0,Democrat,1996.0,Male,5.0,Caucasian,6.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000652_200.jpg
52,Boucher,Rick,107.0,2001.0,VA,House of Representative,9.0,Democrat,1982.0,Male,11.0,Caucasian,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000657_200.jpg
53,Boxer,Barbara,107.0,2001.0,CA,Senate,0.0,Democrat,1992.0,Female,52.0,Caucasian,51.0,10.0,6.0,2.0,0.0,https://www.congress.gov/img/member/b000711_200.jpg
54,Boyd,Allen,107.0,2001.0,FL,House of Representative,2.0,Democrat,1996.0,Male,23.0,Caucasian,1.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000716_200.jpg
55,Brady,Robert,107.0,2001.0,PA,House of Representative,1.0,Democrat,1998.0,Male,21.0,Caucasian,5.0,1.0,4.0,4.0,3.0,https://www.congress.gov/img/member/b001227_200.jpg
56,Brady,Kevin,107.0,2001.0,TX,House of Representative,8.0,Republican,1996.0,Male,30.0,Caucasian,17.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/114_rp_tx_8_brady_kevin_200.jpg
57,Breaux,John,107.0,2001.0,LA,Senate,0.0,Democrat,1986.0,Male,7.0,Caucasian,37.0,4.0,2.0,0.0,0.0,https://www.congress.gov/img/member/b000780_200.jpg
58,Brown,Corrine,107.0,2001.0,FL,House of Representative,3.0,Democrat,1992.0,Female,23.0,African-American,6.0,0.0,2.0,2.0,0.0,https://www.congress.gov/img/member/114_rp_fl_5_brown_corrine_200.jpg
59,Brown,Sherrod,107.0,2001.0,OH,House of Representative,13.0,Democrat,1992.0,Male,19.0,Caucasian,14.0,3.0,3.0,3.0,3.0,https://www.congress.gov/img/member/115_sr_oh_brown_sherrod_200.jpg
60,Brown,Henry,107.0,2001.0,SC,House of Representative,1.0,Republican,2000.0,Male,6.0,Caucasian,19.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b001235_200.jpg
61,Brownback,Sam,107.0,2001.0,KS,Senate,0.0,Republican,1996.0,Male,4.0,Caucasian,23.0,3.0,1.0,1.0,1.0,https://www.congress.gov/img/member/111_sr_ks_brownback_sam_200.jpg
62,Bryant,Ed,107.0,2001.0,TN,House of Representative,7.0,Republican,1994.0,Male,9.0,Caucasian,3.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/b000996_200.jpg
63,Bunning,Jim,107.0,2001.0,KY,Senate,0.0,Republican,1998.0,Male,6.0,Caucasian,13.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/111bunning_r_ky_200.jpg
64,Burns,Conrad,107.0,2001.0,MT,Senate,0.0,Republican,1988.0,Male,1.0,Caucasian,14.0,2.0,2.0,0.0,0.0,https://www.congress.gov/img/member/b001126_200.jpg
65,Burr,Richard,107.0,2001.0,NC,House of Representative,5.0,Republican,1994.0,Male,12.0,Caucasian,9.0,0.0,1.0,1.0,0.0,https://www.congress.gov/img/member/115_sr_nc_burr_richard_200.jpg
66,Burton,Dan,107.0,2001.0,IN,House of Representative,6.0,Republican,1982.0,Male,10.0,Caucasian,17.0,2.0,3.0,3.0,1.0,https://www.congress.gov/img/member/b001149_200.jpg
67,Buyer,Steve,107.0,2001.0,IN,House of Representative,5.0,Republican,1992.0,Male,10.0,Caucasian,4.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/b001203_200.jpg
68,Byrd,Robert,107.0,2001.0,WV,Senate,0.0,Democrat,1958.0,Male,3.0,Caucasian,6.0,4.0,4.0,0.0,0.0,https://www.congress.gov/img/member/b001210_200.jpg
69,Callahan,Sonny,107.0,2001.0,AL,House of Representative,1.0,Republican,1984.0,Male,7.0,Caucasian,8.0,2.0,2.0,1.0,1.0,https://www.congress.gov/img/member/c000052_200.jpg
70,Calvert,Ken,107.0,2001.0,CA,House of Representative,43.0,Republican,1992.0,Male,52.0,Caucasian,15.0,6.0,5.0,4.0,3.0,https://www.congress.gov/img/member/115_rp_ca_42_calvert_ken_200.jpg
71,Camp,Dave,107.0,2001.0,MI,House of Representative,4.0,Republican,1990.0,Male,16.0,Caucasian,25.0,0.0,1.0,1.0,0.0,https://www.congress.gov/img/member/c000071_200.jpg
72,Campbell,Ben,107.0,2001.0,CO,Senate,0.0,Republican,1992.0,Male,6.0,American-Indian,42.0,18.0,15.0,12.0,7.0,https://www.congress.gov/img/member/c000077_200.jpg
73,Cannon,Chris,107.0,2001.0,UT,House of Representative,3.0,Republican,1996.0,Male,3.0,Caucasian,17.0,6.0,4.0,4.0,1.0,https://www.congress.gov/img/member/c000116_200.jpg
74,Cantor,Eric,107.0,2001.0,VA,House of Representative,7.0,Republican,2000.0,Male,11.0,Caucasian,9.0,0.0,2.0,2.0,1.0,https://www.congress.gov/img/member/c001046_200.jpg
75,Cantwell,Maria,107.0,2001.0,WA,Senate,0.0,Democrat,2000.0,Female,9.0,Caucasian,17.0,4.0,2.0,2.0,0.0,https://www.congress.gov/img/member/115_sr_wa_cantwell_maria_200.jpg
76,Capito,Shelley,107.0,2001.0,WV,House of Representative,2.0,Republican,2000.0,Female,3.0,Caucasian,6.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/c001047_200.jpg
77,Capps,Lois,107.0,2001.0,CA,House of Representative,22.0,Democrat,1998.0,Female,52.0,Caucasian,20.0,2.0,1.0,0.0,0.0,https://www.congress.gov/img/member/c001036_200.jpg
78,Capuano,Michael,107.0,2001.0,MA,House of Representative,8.0,Democrat,1998.0,Male,10.0,Caucasian,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c001037_200.jpg
79,Cardin,Benjamin,107.0,2001.0,MD,House of Representative,3.0,Democrat,1986.0,Male,8.0,Caucasian,16.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/115_sr_md_cardin_benjamin_200.jpg
80,Carnahan,Jean,107.0,2001.0,MO,Senate,0.0,Democrat,2000.0,Female,9.0,Caucasian,24.0,3.0,2.0,0.0,0.0,https://www.congress.gov/img/member/c001043_200.jpg
81,Carper,Thomas,107.0,2001.0,DE,Senate,0.0,Democrat,2000.0,Male,1.0,Caucasian,28.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/115_sr_de_carper_thomas_200.jpg
82,Carson,Brad,107.0,2001.0,OK,House of Representative,2.0,Democrat,2000.0,Male,6.0,American-Indian,8.0,2.0,2.0,2.0,0.0,https://www.congress.gov/img/member/c001044_200.jpg
83,Carson,Julia,107.0,2001.0,IN,House of Representative,10.0,Democrat,1996.0,Female,10.0,African-American,9.0,0.0,1.0,1.0,0.0,https://www.congress.gov/img/member/c000191_200.jpg
84,Castle,Michael,107.0,2001.0,DE,House of Representative,1.0,Republican,1992.0,Male,1.0,Caucasian,29.0,1.0,3.0,3.0,1.0,https://www.congress.gov/img/member/111castlem-de00_200.jpg
85,Chabot,Steve,107.0,2001.0,OH,House of Representative,1.0,Republican,1994.0,Male,19.0,Caucasian,7.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/115_rp_oh_1_chabot_steve_200.jpg
86,Chafee,Lincoln,107.0,2001.0,RI,Senate,0.0,Republican,1999.0,Male,2.0,Caucasian,9.0,4.0,3.0,1.0,0.0,https://www.congress.gov/img/member/c001040_200.jpg
87,Chambliss,Saxby,107.0,2001.0,GA,House of Representative,8.0,Republican,1994.0,Male,11.0,Caucasian,9.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/113_sr_ga_chambliss_saxby_200.jpg
88,Christensen,Donna,107.0,2001.0,VI,House of Representative,1.0,Democrat,1996.0,Female,1.0,African-American,11.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/c000380_200.jpg
89,Clay,Wm.,107.0,2001.0,MO,House of Representative,1.0,Democrat,2000.0,Male,9.0,African-American,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_mo_1_clay_wm_200.jpg
90,Clayton,Eva,107.0,2001.0,NC,House of Representative,1.0,Democrat,1992.0,Female,12.0,African-American,7.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000494_200.jpg
91,Cleland,Max,107.0,2001.0,GA,Senate,0.0,Democrat,1996.0,Male,11.0,Caucasian,43.0,7.0,4.0,0.0,0.0,https://www.congress.gov/img/member/c001034_200.jpg
92,Clement,Bob,107.0,2001.0,TN,House of Representative,5.0,Democrat,1988.0,Male,9.0,Caucasian,7.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000503_200.jpg
93,Clinton,Hillary,107.0,2001.0,NY,Senate,0.0,Democrat,2000.0,Female,31.0,Caucasian,78.0,14.0,13.0,6.0,0.0,https://www.congress.gov/img/member/c001041_200.jpg
94,Clyburn,James,107.0,2001.0,SC,House of Representative,6.0,Democrat,1992.0,Male,6.0,African-American,4.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/115_rp_sc_6_clyburn_james_200.jpg
95,Coble,Howard,107.0,2001.0,NC,House of Representative,6.0,Republican,1984.0,Male,12.0,Caucasian,36.0,9.0,9.0,9.0,3.0,https://www.congress.gov/img/member/c000556_200.jpg
96,Cochran,Thad,107.0,2001.0,MS,Senate,0.0,Republican,1978.0,Male,5.0,Caucasian,12.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/114_sr_ms_cochran_thad_200.jpg
97,Collins,Mac,107.0,2001.0,GA,House of Representative,3.0,Republican,1992.0,Male,11.0,Caucasian,24.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000640_200.jpg
98,Collins,Susan,107.0,2001.0,ME,Senate,0.0,Republican,1996.0,Female,2.0,Caucasian,49.0,3.0,4.0,4.0,2.0,https://www.congress.gov/img/member/c001035_200.jpg
99,Combest,Larry,107.0,2001.0,TX,House of Representative,19.0,Republican,1984.0,Male,30.0,Caucasian,3.0,2.0,2.0,2.0,2.0,https://www.congress.gov/img/member/c000653_200.jpg
100,Condit,Gary,107.0,2001.0,CA,House of Representative,18.0,Democrat,1989.0,Male,52.0,Caucasian,8.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/c000670_200.jpg
101,Conrad,Kent,107.0,2001.0,ND,Senate,0.0,Democrat,1986.0,Male,1.0,Caucasian,15.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000705_200.jpg
102,Conyers,John,107.0,2001.0,MI,House of Representative,14.0,Democrat,1964.0,Male,16.0,African-American,23.0,2.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000714_200.jpg
103,Cooksey,John,107.0,2001.0,LA,House of Representative,5.0,Republican,1996.0,Male,7.0,Latino/a,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000735_200.jpg
104,Corzine,Jon,107.0,2001.0,NJ,Senate,0.0,Democrat,2000.0,Male,13.0,Caucasian,36.0,4.0,3.0,1.0,0.0,https://www.congress.gov/img/member/c001042_200.jpg
105,Costello,Jerry,107.0,2001.0,IL,House of Representative,12.0,Democrat,1988.0,Male,20.0,Caucasian,5.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/112_rp_il_12_costello_jerry_200.jpg
106,Cox,Christopher,107.0,2001.0,CA,House of Representative,47.0,Republican,1988.0,Male,52.0,Caucasian,13.0,2.0,2.0,2.0,2.0,https://www.congress.gov/img/member/c000830_200.jpg
107,Coyne,William,107.0,2001.0,PA,House of Representative,14.0,Democrat,1980.0,Male,21.0,Caucasian,20.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000846_200.jpg
108,Craig,Larry,107.0,2001.0,ID,Senate,0.0,Republican,1990.0,Male,2.0,Caucasian,29.0,3.0,2.0,1.0,0.0,https://www.congress.gov/img/member/craig_r_id.png
109,Cramer,Robert,107.0,2001.0,AL,House of Representative,5.0,Democrat,1990.0,Male,7.0,Caucasian,3.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/c000868_200.jpg
110,Crane,Philip,107.0,2001.0,IL,House of Representative,8.0,Republican,1969.0,Male,20.0,Caucasian,32.0,4.0,4.0,3.0,1.0,https://www.congress.gov/img/member/c000873_200.jpg
111,Crapo,Mike,107.0,2001.0,ID,Senate,0.0,Republican,1998.0,Male,2.0,Caucasian,22.0,4.0,4.0,4.0,1.0,https://www.congress.gov/img/member/115_sr_id_crapo_mike_200.jpg
112,Crenshaw,Ander,107.0,2001.0,FL,House of Representative,4.0,Republican,2000.0,Male,23.0,Caucasian,3.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/c001045_200.jpg
113,Crowley,Joseph,107.0,2001.0,NY,House of Representative,7.0,Democrat,1998.0,Male,31.0,Caucasian,11.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c001038_200.jpg
114,Cubin,Barbara,107.0,2001.0,WY,House of Representative,1.0,Republican,1994.0,Female,1.0,Caucasian,14.0,4.0,3.0,3.0,1.0,https://www.congress.gov/img/member/c000962_200.jpg
115,Culberson,John,107.0,2001.0,TX,House of Representative,7.0,Republican,2000.0,Male,30.0,Caucasian,1.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c001048_200.jpg
116,Cummings,Elijah,107.0,2001.0,MD,House of Representative,7.0,Democrat,1996.0,Male,8.0,African-American,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/115_rp_md_7_cummings_elijah_200.jpg
117,Cunningham,Randy,107.0,2001.0,CA,House of Representative,51.0,Republican,1990.0,Male,52.0,Caucasian,12.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/c000994_200.jpg
118,Daschle,Thomas,107.0,2001.0,SD,Senate,0.0,Democrat,1986.0,Male,1.0,Caucasian,36.0,8.0,9.0,5.0,1.0,https://www.congress.gov/img/member/d000064_200.jpg
119,Davis,Danny,107.0,2001.0,IL,House of Representative,7.0,Democrat,1996.0,Male,20.0,African-American,7.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_il_7_davis_danny_200.jpg
120,Davis,Susan,107.0,2001.0,CA,House of Representative,49.0,Democrat,2000.0,Female,52.0,Caucasian,15.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_ca_53_davis_susan_200.jpg
121,Davis,Jim,107.0,2001.0,FL,House of Representative,11.0,Democrat,1996.0,Male,23.0,Caucasian,0.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/d000114_200.jpg
122,Davis,Tom,107.0,2001.0,VA,House of Representative,11.0,Republican,1994.0,Male,11.0,Caucasian,25.0,6.0,5.0,5.0,3.0,https://www.congress.gov/img/member/d000136_200.jpg
123,Davis,Jo,107.0,2001.0,VA,House of Representative,1.0,Republican,2000.0,Female,11.0,Caucasian,10.0,1.0,2.0,2.0,2.0,https://www.congress.gov/img/member/d000597_200.jpg
124,Dayton,Mark,107.0,2001.0,MN,Senate,0.0,Democrat,2000.0,Male,8.0,Caucasian,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/d000596_200.jpg
125,Deal,Nathan,107.0,2001.0,GA,House of Representative,9.0,Republican,1992.0,Male,11.0,Caucasian,8.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/ga10.png
126,DeFazio,Peter,107.0,2001.0,OR,House of Representative,4.0,Democrat,1986.0,Male,5.0,Caucasian,30.0,2.0,3.0,2.0,1.0,https://www.congress.gov/img/member/115_rp_or_4_defazio_peter_200.jpg
127,DeGette,Diana,107.0,2001.0,CO,House of Representative,1.0,Democrat,1996.0,Female,6.0,Caucasian,12.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_co_1_degette_diana_200.jpg
128,Delahunt,Bill,107.0,2001.0,MA,House of Representative,10.0,Democrat,1996.0,Male,10.0,Caucasian,6.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/d000210_200.jpg
129,DeLauro,Rosa,107.0,2001.0,CT,House of Representative,3.0,Democrat,1990.0,Female,6.0,Caucasian,13.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/115_rp_ct_3_delauro_rosa_200.jpg
130,DeLay,Tom,107.0,2001.0,TX,House of Representative,22.0,Republican,1984.0,Male,30.0,Caucasian,4.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/d000217_200.jpg
131,DeMint,Jim,107.0,2001.0,SC,House of Representative,4.0,Republican,1998.0,Male,6.0,Caucasian,37.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/d000595_200.jpg
132,Deutsch,Peter,107.0,2001.0,FL,House of Representative,20.0,Democrat,1992.0,Male,23.0,Caucasian,8.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/d000275_200.jpg
133,DeWine,Mike,107.0,2001.0,OH,Senate,0.0,Republican,1994.0,Male,19.0,Caucasian,29.0,5.0,2.0,0.0,0.0,https://www.congress.gov/img/member/d000294_200.jpg
134,Diaz-Balart,Lincoln,107.0,2001.0,FL,House of Representative,21.0,Republican,1992.0,Male,23.0,Latino/a,3.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/111diaz-balartl-fl21_200.jpg
