id,Presidency,President,Took office,Left office,Party,Portrait,Home state
16,16.0,Abraham Lincoln,1861.0,1865.0,Republican/National Union,https://www.biography.com/.image/t_share/MTU5MDUzMTE0Mzk2MTI0OTUy/abraham-lincoln-1809---18652c-sixteenth-president-of-the-united-states-of-america-photo-by-stock-montagestock-montagegetty-images_promo.jpg,Illinois
17,17.0,Andrew Johnson,1865.0,1869.0,Democratic/National Union,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1MDg4MTg3NzIx/andrew_johnson.jpg,Tennessee
18,18.0,Ulysses S. Grant,1869.0,1877.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgzNzQ0MzcyNDQ3/1867-chromolithograph-of-ulysses-grant-by-fabronius-gurney-son.jpg,Ohio
19,19.0,Rutherford B. Hayes,1877.0,1881.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1MzU4NDU4NTkx/rutherford_b_hayes.jpg,Ohio
20,20.0,James A. Garfield,1881.0,1881.0,Republican,https://www.biography.com/.image/t_share/MTIwNjA4NjMzODE5NzkyOTA4/james-garfield-9306645-1-402.jpg,Ohio
21,21.0,Chester A. Arthur,1881.0,1885.0,Republican,https://www.potus.com/wp-content/uploads/21_chester_a_arthur_1_gallery.jpg,New York
22,22.0,Grover Cleveland,1885.0,1889.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM1MTQ3NDg3/grover_cleveland.jpg,New York
23,23.0,Benjamin Harrison,1889.0,1893.0,Republican,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg/1200px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg,Indiana
24,24.0,Grover Cleveland (2nd term),1893.0,1897.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM1MTQ3NDg3/grover_cleveland.jpg,New York
25,25.0,William McKinley,1897.0,1901.0,Republican,https://cdn.britannica.com/31/2431-050-C1015257/William-McKinley.jpg,Ohio
26,26.0,Theodore Roosevelt,1901.0,1909.0,Republican,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzcxOTg3NDY5/theodore-roosevelt-9463424-1-402.jpg,New York
27,27.0,William Howard Taft,1909.0,1913.0,Republican,https://cdn.britannica.com/60/71460-050-152A6481/William-Howard-Taft-constitutional-law-Kent-Yale-1921.jpg,Ohio
28,28.0,Woodrow Wilson,1913.0,1921.0,Democratic,https://www.biography.com/.image/t_share/MTIwNjA4NjM0MDEyOTkzMDM2/woodrow-wilson-9534272-1-402.jpg,New Jersey
29,29.0,Warren G. Harding,1921.0,1923.0,Republican,https://cdn.britannica.com/s:300x300/45/1145-004-A9D837E7/Warren-G-Harding.jpg,Ohio
30,30.0,Calvin Coolidge,1923.0,1929.0,Republican,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNTk1MzAyNDEz/calvin-coolidge-9256384-1-402.jpg,Massachusetts
31,31.0,Herbert Hoover,1929.0,1933.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1MDk0MjgyOTc1/herbert_hoover.jpg,Iowa
32,32.0,Franklin D. Roosevelt,1933.0,1945.0,Democratic,https://www.history.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_620/MTU3ODc4NjA0MzI3NzU3NTM1/image-placeholder-title.jpg,New York
33,33.0,Harry S. Truman,1945.0,1953.0,Democratic,https://www.biography.com/.image/t_share/MTE5NTU2MzE2MzkwNTI0NDI3/harry-truman-9511121-1-402.jpg,Missouri
34,34.0,Dwight D. Eisenhower,1953.0,1961.0,Republican,https://www.biography.com/.image/t_share/MTE5NTU2MzE2MjExMjE3OTMx/dwight-d-eisenhower-9285482-1-402.jpg,Texas
35,35.0,John F. Kennedy,1961.0,1963.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/1200px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg,Massachusetts
36,36.0,Lyndon B. Johnson,1963.0,1969.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/220px-37_Lyndon_Johnson_3x4.jpg,Texas
37,37.0,Richard Nixon,1969.0,1974.0,Republican,https://cdn.britannica.com/73/103073-050-EB4992D4/Richard-M-Nixon-1969.jpg,California
38,38.0,Gerald Ford,1974.0,1977.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM0OTUwODc5/gerald_ford.jpg,Michigan
39,39.0,Jimmy Carter,1977.0,1981.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/5/5a/JimmyCarterPortrait2.jpg,Georgia
40,40.0,Ronald Reagan,1981.0,1989.0,Republican,https://www.history.com/.image/c_fit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_620/MTU3ODc5MDg2NDM2NjU2NDU3/reagan_flags.jpg,California
41,41.0,George H. W. Bush,1989.0,1993.0,Republican,https://www.biography.com/.image/t_share/MTE1ODA0OTcxMjgzODc1MzQx/george-h-walker-bush-38066-1-402.jpg,Texas
42,42.0,Bill Clinton,1993.0,2001.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgzMjEwMTg4MTA1/bill_clinton.jpg,Arkansas
43,43.0,George W. Bush,2001.0,2009.0,Republican,"https://cdn.britannica.com/s:800x450,c:crop/42/172742-138-B0830C03/overview-George-W-Bush.jpg",Texas
44,44.0,Barack Obama,2009.0,2017.0,Democratic,https://www.biography.com/.image/t_share/MTE4MDAzNDEwNzg5ODI4MTEw/barack-obama-12782369-1-402.jpg,Illinois
45,45.0,Donald Trump,2017.0,Incumbent,Republican,https://yt3.ggpht.com/a/AATXAJzBdrKPM8n3_Evl46OScSu61IwrlJG_16CV6Q=s900-c-k-c0xffffffff-no-rj-mo,New York
